,term,term_d,rate
2018-01-02,0d,0,2.3548
2018-01-02,1m,0.08,3.5118
2018-01-02,2m,0.17,3.848
2018-01-02,3m,0.25,3.7797
2018-01-02,6m,0.5,3.7725
2018-01-02,9m,0.75,3.6968
2018-01-02,1y,1,3.6767
2018-01-02,3y,3,3.7786
2018-01-02,5y,5,3.8262
2018-01-02,7y,7,3.9
2018-01-02,10y,10,3.9008
2018-01-02,15y,15,4.1893
2018-01-02,20y,20,4.2281
2018-01-02,30y,30,4.3723
2018-01-02,40y,40,4.4123
2018-01-02,50y,50,4.4227
2018-01-03,0d,0,2.2613
2018-01-03,1m,0.08,3.4274
2018-01-03,2m,0.17,3.4963
2018-01-03,3m,0.25,3.6554
2018-01-03,6m,0.5,3.7176
2018-01-03,9m,0.75,3.66
2018-01-03,1y,1,3.6667
2018-01-03,3y,3,3.7426
2018-01-03,5y,5,3.8503
2018-01-03,7y,7,3.9006
2018-01-03,10y,10,3.9162
2018-01-03,15y,15,4.1968
2018-01-03,20y,20,4.2356
2018-01-03,30y,30,4.3723
2018-01-03,40y,40,4.4123
2018-01-03,50y,50,4.4227
2018-01-04,0d,0,2.2028
2018-01-04,1m,0.08,3.2802
2018-01-04,2m,0.17,3.3782
2018-01-04,3m,0.25,3.514
2018-01-04,6m,0.5,3.5774
2018-01-04,9m,0.75,3.58
2018-01-04,1y,1,3.5968
2018-01-04,3y,3,3.7496
2018-01-04,5y,5,3.8804
2018-01-04,7y,7,3.9104
2018-01-04,10y,10,3.9319
2018-01-04,15y,15,4.2043
2018-01-04,20y,20,4.2431
2018-01-04,30y,30,4.3723
2018-01-04,40y,40,4.4123
2018-01-04,50y,50,4.4227
2018-01-05,0d,0,2.1818
2018-01-05,1m,0.08,2.9845
2018-01-05,2m,0.17,3.2843
2018-01-05,3m,0.25,3.4058
2018-01-05,6m,0.5,3.5255
2018-01-05,9m,0.75,3.5224
2018-01-05,1y,1,3.5392
2018-01-05,3y,3,3.7164
2018-01-05,5y,5,3.8484
2018-01-05,7y,7,3.9057
2018-01-05,10y,10,3.9212
2018-01-05,15y,15,4.1943
2018-01-05,20y,20,4.2331
2018-01-05,30y,30,4.3623
2018-01-05,40y,40,4.4023
2018-01-05,50y,50,4.4127
2018-01-08,0d,0,2.2179
2018-01-08,1m,0.08,3.0308
2018-01-08,2m,0.17,3.1675
2018-01-08,3m,0.25,3.2977
2018-01-08,6m,0.5,3.5149
2018-01-08,9m,0.75,3.5154
2018-01-08,1y,1,3.5336
2018-01-08,3y,3,3.6771
2018-01-08,5y,5,3.8257
2018-01-08,7y,7,3.9005
2018-01-08,10y,10,3.911
2018-01-08,15y,15,4.1844
2018-01-08,20y,20,4.2232
2018-01-08,30y,30,4.3524
2018-01-08,40y,40,4.3924
2018-01-08,50y,50,4.4028
2018-01-09,0d,0,2.2859
2018-01-09,1m,0.08,2.9731
2018-01-09,2m,0.17,3.1268
2018-01-09,3m,0.25,3.2931
2018-01-09,6m,0.5,3.524
2018-01-09,9m,0.75,3.53
2018-01-09,1y,1,3.5382
2018-01-09,3y,3,3.6528
2018-01-09,5y,5,3.8255
2018-01-09,7y,7,3.9
2018-01-09,10y,10,3.8909
2018-01-09,15y,15,4.1744
2018-01-09,20y,20,4.2132
2018-01-09,30y,30,4.3524
2018-01-09,40y,40,4.3924
2018-01-09,50y,50,4.4028
2018-01-10,0d,0,2.3999
2018-01-10,1m,0.08,3.0633
2018-01-10,2m,0.17,3.1992
2018-01-10,3m,0.25,3.3434
2018-01-10,6m,0.5,3.5714
2018-01-10,9m,0.75,3.563
2018-01-10,1y,1,3.5675
2018-01-10,3y,3,3.651
2018-01-10,5y,5,3.8458
2018-01-10,7y,7,3.8913
2018-01-10,10y,10,3.9201
2018-01-10,15y,15,4.192
2018-01-10,20y,20,4.2308
2018-01-10,30y,30,4.3626
2018-01-10,40y,40,4.4026
2018-01-10,50y,50,4.413
2018-01-11,0d,0,2.5889
2018-01-11,1m,0.08,3.0733
2018-01-11,2m,0.17,3.2107
2018-01-11,3m,0.25,3.3677
2018-01-11,6m,0.5,3.5765
2018-01-11,9m,0.75,3.5628
2018-01-11,1y,1,3.5675
2018-01-11,3y,3,3.6739
2018-01-11,5y,5,3.8648
2018-01-11,7y,7,3.8913
2018-01-11,10y,10,3.9546
2018-01-11,15y,15,4.2083
2018-01-11,20y,20,4.247
2018-01-11,30y,30,4.3626
2018-01-11,40y,40,4.4026
2018-01-11,50y,50,4.413
2018-01-12,0d,0,2.5869
2018-01-12,1m,0.08,3.0995
2018-01-12,2m,0.17,3.2709
2018-01-12,3m,0.25,3.3386
2018-01-12,6m,0.5,3.5514
2018-01-12,9m,0.75,3.5744
2018-01-12,1y,1,3.5827
2018-01-12,3y,3,3.6619
2018-01-12,5y,5,3.8598
2018-01-12,7y,7,3.8856
2018-01-12,10y,10,3.9337
2018-01-12,15y,15,4.1933
2018-01-12,20y,20,4.232
2018-01-12,30y,30,4.3526
2018-01-12,40y,40,4.3926
2018-01-12,50y,50,4.403
2018-01-15,0d,0,2.5869
2018-01-15,1m,0.08,3.1456
2018-01-15,2m,0.17,3.2388
2018-01-15,3m,0.25,3.3466
2018-01-15,6m,0.5,3.5401
2018-01-15,9m,0.75,3.5733
2018-01-15,1y,1,3.5826
2018-01-15,3y,3,3.6787
2018-01-15,5y,5,3.8713
2018-01-15,7y,7,3.9006
2018-01-15,10y,10,3.965
2018-01-15,15y,15,4.2171
