,term,term_d,rate
2011/01/04,0d,0,2.3582
2011/01/04,1m,0.08,2.7332
2011/01/04,2m,0.17,2.9616
2011/01/04,3m,0.25,2.9634
2011/01/04,6m,0.5,3.0288
2011/01/04,9m,0.75,3.1433
2011/01/04,1y,1,3.2281
2011/01/04,2y,2,3.3398
2011/01/04,3y,3,3.3801
2011/01/04,4y,4,3.4158
2011/01/04,5y,5,3.5
2011/01/04,6y,6,3.6177
2011/01/04,7y,7,3.6783
2011/01/04,8y,8,3.7618
2011/01/04,9y,9,3.8131
2011/01/04,10y,10,3.8606
2011/01/04,15y,15,4.0733
2011/01/04,20y,20,4.176
2011/01/04,30y,30,4.2705
2011/01/04,40y,40,4.3378
2011/01/04,50y,50,4.4027
2011/01/05,0d,0,2.1074
2011/01/05,1m,0.08,2.4946
2011/01/05,2m,0.17,2.804
2011/01/05,3m,0.25,2.8693
2011/01/05,6m,0.5,2.925
2011/01/05,9m,0.75,2.9598
2011/01/05,1y,1,3.0283
2011/01/05,2y,2,3.2858
2011/01/05,3y,3,3.347
2011/01/05,4y,4,3.3669
2011/01/05,5y,5,3.4304
2011/01/05,6y,6,3.5729
2011/01/05,7y,7,3.6151
2011/01/05,8y,8,3.7023
2011/01/05,9y,9,3.7607
2011/01/05,10y,10,3.8132
2011/01/05,15y,15,4.0374
2011/01/05,20y,20,4.1521
2011/01/05,30y,30,4.2466
2011/01/05,40y,40,4.3139
2011/01/05,50y,50,4.3788
2011/01/06,0d,0,1.6078
2011/01/06,1m,0.08,2.329
2011/01/06,2m,0.17,2.8066
2011/01/06,3m,0.25,2.8426
2011/01/06,6m,0.5,2.8998
2011/01/06,9m,0.75,2.9361
2011/01/06,1y,1,2.994
2011/01/06,2y,2,3.2298
2011/01/06,3y,3,3.3275
2011/01/06,4y,4,3.3886
2011/01/06,5y,5,3.4402
2011/01/06,6y,6,3.5748
2011/01/06,7y,7,3.639
2011/01/06,8y,8,3.697
2011/01/06,9y,9,3.7641
2011/01/06,10y,10,3.8339
2011/01/06,15y,15,4.0457
2011/01/06,20y,20,4.1576
2011/01/06,30y,30,4.2521
2011/01/06,40y,40,4.3194
2011/01/06,50y,50,4.3843
2011/01/07,0d,0,1.5474
2011/01/07,1m,0.08,2.2992
2011/01/07,2m,0.17,2.7789
2011/01/07,3m,0.25,2.8012
2011/01/07,6m,0.5,2.8402
2011/01/07,9m,0.75,2.9021
2011/01/07,1y,1,2.9524
2011/01/07,2y,2,3.1898
2011/01/07,3y,3,3.2975
2011/01/07,4y,4,3.3651
2011/01/07,5y,5,3.4105
2011/01/07,6y,6,3.5524
2011/01/07,7y,7,3.6247
2011/01/07,8y,8,3.7014
2011/01/07,9y,9,3.7641
2011/01/07,10y,10,3.8237
2011/01/07,15y,15,4.0383
2011/01/07,20y,20,4.1526
2011/01/07,30y,30,4.2471
2011/01/07,40y,40,4.3144
2011/01/07,50y,50,4.3794
2011/01/10,0d,0,1.527
2011/01/10,1m,0.08,2.2708
2011/01/10,2m,0.17,2.7684
2011/01/10,3m,0.25,2.81
2011/01/10,6m,0.5,2.8655
2011/01/10,9m,0.75,2.903
2011/01/10,1y,1,2.9294
2011/01/10,2y,2,3.1698
2011/01/10,3y,3,3.2899
2011/01/10,4y,4,3.3576
2011/01/10,5y,5,3.4072
2011/01/10,6y,6,3.5915
2011/01/10,7y,7,3.6385
2011/01/10,8y,8,3.6981
2011/01/10,9y,9,3.7697
2011/01/10,10y,10,3.8449
2011/01/10,15y,15,4.0533
2011/01/10,20y,20,4.1627
2011/01/10,30y,30,4.2554
2011/01/10,40y,40,4.3245
2011/01/10,50y,50,4.3894
2011/01/11,0d,0,1.497
2011/01/11,1m,0.08,2.2579
2011/01/11,2m,0.17,2.7644
2011/01/11,3m,0.25,2.8061
2011/01/11,6m,0.5,2.8522
2011/01/11,9m,0.75,2.89
2011/01/11,1y,1,2.9201
2011/01/11,2y,2,3.1575
2011/01/11,3y,3,3.276
2011/01/11,4y,4,3.3671
2011/01/11,5y,5,3.4269
2011/01/11,6y,6,3.6009
2011/01/11,7y,7,3.66
2011/01/11,8y,8,3.7181
2011/01/11,9y,9,3.7895
2011/01/11,10y,10,3.8703
2011/01/11,15y,15,4.0721
2011/01/11,20y,20,4.1752
2011/01/11,30y,30,4.2679
2011/01/11,40y,40,4.337
2011/01/11,50y,50,4.4019
2011/01/12,0d,0,1.4795
2011/01/12,1m,0.08,2.2554
2011/01/12,2m,0.17,2.7496
2011/01/12,3m,0.25,2.7735
2011/01/12,6m,0.5,2.7818
2011/01/12,9m,0.75,2.8196
2011/01/12,1y,1,2.8527
2011/01/12,2y,2,3.128
2011/01/12,3y,3,3.2791
2011/01/12,4y,4,3.3582
2011/01/12,5y,5,3.4083
2011/01/12,6y,6,3.6101
2011/01/12,7y,7,3.6532
2011/01/12,8y,8,3.718
2011/01/12,9y,9,3.7845
2011/01/12,10y,10,3.855
2011/01/12,15y,15,4.0616
2011/01/12,20y,20,4.1682
2011/01/12,30y,30,4.2609
2011/01/12,40y,40,4.3201
2011/01/12,50y,50,4.3849
2011/01/13,0d,0,1.4327
2011/01/13,1m,0.08,2.2113
2011/01/13,2m,0.17,2.7039
2011/01/13,3m,0.25,2.7251
2011/01/13,6m,0.5,2.7797
2011/01/13,9m,0.75,2.8175
2011/01/13,1y,1,2.8506
2011/01/13,2y,2,3.1086
2011/01/13,3y,3,3.2731
2011/01/13,4y,4,3.3578
2011/01/13,5y,5,3.4419
2011/01/13,6y,6,3.6293
2011/01/13,7y,7,3.6788
2011/01/13,8y,8,3.7331
2011/01/13,9y,9,3.8027
2011/01/13,10y,10,3.8831
2011/01/13,15y,15,4.0742
2011/01/13,20y,20,4.1733
2011/01/13,30y,30,4.268
2011/01/13,40y,40,4.3201
2011/01/13,50y,50,4.3849
2011/01/14,0d,0,1.4387
2011/01/14,1m,0.08,2.1933
2011/01/14,2m,0.17,2.6749
2011/01/14,3m,0.25,2.699
2011/01/14,6m,0.5,2.7893
2011/01/14,9m,0.75,2.8453
2011/01/14,1y,1,2.85
2011/01/14,2y,2,3.1081
2011/01/14,3y,3,3.288
2011/01/14,4y,4,3.3891
2011/01/14,5y,5,3.4714
2011/01/14,6y,6,3.6639
2011/01/14,7y,7,3.7119
2011/01/14,8y,8,3.7631
2011/01/14,9y,9,3.8339
2011/01/14,10y,10,3.9156
2011/01/14,15y,15,4.0985
2011/01/14,20y,20,4.1911
2011/01/14,30y,30,4.2859
2011/01/14,40y,40,4.3379
2011/01/14,50y,50,4.4028
2011/01/17,0d,0,1.4428
2011/01/17,1m,0.08,2.2424
2011/01/17,2m,0.17,2.74
2011/01/17,3m,0.25,2.753
2011/01/17,6m,0.5,2.8207
2011/01/17,9m,0.75,2.861
2011/01/17,1y,1,2.8857
2011/01/17,2y,2,3.1376
2011/01/17,3y,3,3.3237
2011/01/17,4y,4,3.4415
2011/01/17,5y,5,3.5334
2011/01/17,6y,6,3.7092
2011/01/17,7y,7,3.7655
2011/01/17,8y,8,3.8177
2011/01/17,9y,9,3.8903
2011/01/17,10y,10,3.9651
2011/01/17,15y,15,4.1235
2011/01/17,20y,20,4.2061
2011/01/17,30y,30,4.3009
2011/01/17,40y,40,4.3529
2011/01/17,50y,50,4.4178
2011/01/18,0d,0,1.5141
2011/01/18,1m,0.08,2.2687
2011/01/18,2m,0.17,2.7667
2011/01/18,3m,0.25,2.803
2011/01/18,6m,0.5,2.8544
2011/01/18,9m,0.75,2.8986
2011/01/18,1y,1,2.9357
2011/01/18,2y,2,3.1564
2011/01/18,3y,3,3.3559
2011/01/18,4y,4,3.4915
2011/01/18,5y,5,3.5998
2011/01/18,6y,6,3.7485
2011/01/18,7y,7,3.8177
2011/01/18,8y,8,3.8517
2011/01/18,9y,9,3.9171
2011/01/18,10y,10,3.9954
2011/01/18,15y,15,4.1467
2011/01/18,20y,20,4.2216
2011/01/18,30y,30,4.3164
2011/01/18,40y,40,4.3684
2011/01/18,50y,50,4.4333
2011/01/19,0d,0,2.1445
2011/01/19,1m,0.08,2.6852
2011/01/19,2m,0.17,3.0097
2011/01/19,3m,0.25,2.9906
2011/01/19,6m,0.5,2.9125
2011/01/19,9m,0.75,2.9214
2011/01/19,1y,1,3.0017
2011/01/19,2y,2,3.1746
2011/01/19,3y,3,3.3599
2011/01/19,4y,4,3.5139
2011/01/19,5y,5,3.623
2011/01/19,6y,6,3.7604
2011/01/19,7y,7,3.8222
2011/01/19,8y,8,3.8616
2011/01/19,9y,9,3.9147
2011/01/19,10y,10,3.9752
2011/01/19,15y,15,4.1342
2011/01/19,20y,20,4.2133
2011/01/19,30y,30,4.3081
2011/01/19,40y,40,4.3601
2011/01/19,50y,50,4.425
2011/01/20,0d,0,2.7607
2011/01/20,1m,0.08,3.0608
2011/01/20,2m,0.17,3.2419
2011/01/20,3m,0.25,3.1306
2011/01/20,6m,0.5,3.0321
2011/01/20,9m,0.75,3.0414
2011/01/20,1y,1,3.0457
2011/01/20,2y,2,3.2015
2011/01/20,3y,3,3.3678
2011/01/20,4y,4,3.4961
2011/01/20,5y,5,3.6283
2011/01/20,6y,6,3.76
2011/01/20,7y,7,3.8298
2011/01/20,8y,8,3.87
2011/01/20,9y,9,3.9204
2011/01/20,10y,10,3.9749
2011/01/20,15y,15,4.1341
2011/01/20,20y,20,4.2133
2011/01/20,30y,30,4.308
2011/01/20,40y,40,4.36
2011/01/20,50y,50,4.4249
2011/01/21,0d,0,2.7766
2011/01/21,1m,0.08,3.1899
2011/01/21,2m,0.17,3.4392
2011/01/21,3m,0.25,3.2926
2011/01/21,6m,0.5,3.0749
2011/01/21,9m,0.75,3.0814
2011/01/21,1y,1,3.0866
2011/01/21,2y,2,3.2141
2011/01/21,3y,3,3.384
2011/01/21,4y,4,3.5055
2011/01/21,5y,5,3.6297
2011/01/21,6y,6,3.771
2011/01/21,7y,7,3.8198
2011/01/21,8y,8,3.8601
2011/01/21,9y,9,3.9186
2011/01/21,10y,10,3.9837
2011/01/21,15y,15,4.144
2011/01/21,20y,20,4.2234
2011/01/21,30y,30,4.3182
2011/01/21,40y,40,4.3704
2011/01/21,50y,50,4.435
2011/01/24,0d,0,2.7732
2011/01/24,1m,0.08,3.1262
2011/01/24,2m,0.17,3.3392
2011/01/24,3m,0.25,3.21
2011/01/24,6m,0.5,3.1076
2011/01/24,9m,0.75,3.1134
2011/01/24,1y,1,3.1336
2011/01/24,2y,2,3.2526
2011/01/24,3y,3,3.3624
2011/01/24,4y,4,3.4904
2011/01/24,5y,5,3.6216
2011/01/24,6y,6,3.7752
2011/01/24,7y,7,3.8202
2011/01/24,8y,8,3.8607
2011/01/24,9y,9,3.9214
2011/01/24,10y,10,3.9918
2011/01/24,15y,15,4.1533
2011/01/24,20y,20,4.2296
2011/01/24,30y,30,4.3244
2011/01/24,40y,40,4.3766
2011/01/24,50y,50,4.4412
2011/01/25,0d,0,4.0366
2011/01/25,1m,0.08,3.7243
2011/01/25,2m,0.17,3.4304
2011/01/25,3m,0.25,3.3369
2011/01/25,6m,0.5,3.1988
2011/01/25,9m,0.75,3.1782
2011/01/25,1y,1,3.2104
2011/01/25,2y,2,3.2801
2011/01/25,3y,3,3.3632
2011/01/25,4y,4,3.4936
2011/01/25,5y,5,3.6133
2011/01/25,6y,6,3.7857
2011/01/25,7y,7,3.8242
2011/01/25,8y,8,3.8757
2011/01/25,9y,9,3.9416
2011/01/25,10y,10,4.0152
2011/01/25,15y,15,4.1681
2011/01/25,20y,20,4.2394
2011/01/25,30y,30,4.3342
2011/01/25,40y,40,4.3864
2011/01/25,50y,50,4.451
2011/01/26,0d,0,4.5932
2011/01/26,1m,0.08,3.903
2011/01/26,2m,0.17,3.4115
