,term,term_d,rate
2014/01/02,0d,0,2.0697
2014/01/02,1m,0.08,4.8457
2014/01/02,2m,0.17,4.6709
2014/01/02,3m,0.25,4.6113
2014/01/02,6m,0.5,4.1864
2014/01/02,9m,0.75,4.1651
2014/01/02,1y,1,4.2251
2014/01/02,2y,2,4.3497
2014/01/02,3y,3,4.4538
2014/01/02,4y,4,4.5139
2014/01/02,5y,5,4.5068
2014/01/02,6y,6,4.6583
2014/01/02,7y,7,4.6111
2014/01/02,8y,8,4.626
2014/01/02,9y,9,4.6251
2014/01/02,10y,10,4.6018
2014/01/02,15y,15,4.8183
2014/01/02,20y,20,5.0415
2014/01/02,30y,30,5.1435
2014/01/02,40y,40,5.217
2014/01/02,50y,50,5.2719
2014/01/03,0d,0,2.0447
2014/01/03,1m,0.08,5.1367
2014/01/03,2m,0.17,4.789
2014/01/03,3m,0.25,4.5792
2014/01/03,6m,0.5,4.1306
2014/01/03,9m,0.75,4.1625
2014/01/03,1y,1,4.231
2014/01/03,2y,2,4.3792
2014/01/03,3y,3,4.4237
2014/01/03,4y,4,4.522
2014/01/03,5y,5,4.5169
2014/01/03,6y,6,4.6583
2014/01/03,7y,7,4.6398
2014/01/03,8y,8,4.646
2014/01/03,9y,9,4.6488
2014/01/03,10y,10,4.6415
2014/01/03,15y,15,4.8583
2014/01/03,20y,20,5.0815
2014/01/03,30y,30,5.1835
2014/01/03,40y,40,5.257
2014/01/03,50y,50,5.3119
2014/01/06,0d,0,1.9587
2014/01/06,1m,0.08,5.4107
2014/01/06,2m,0.17,4.7464
2014/01/06,3m,0.25,4.5453
2014/01/06,6m,0.5,4.1116
2014/01/06,9m,0.75,4.1408
2014/01/06,1y,1,4.2132
2014/01/06,2y,2,4.3982
2014/01/06,3y,3,4.4051
2014/01/06,4y,4,4.5339
2014/01/06,5y,5,4.5293
2014/01/06,6y,6,4.7085
2014/01/06,7y,7,4.6698
2014/01/06,8y,8,4.666
2014/01/06,9y,9,4.6772
2014/01/06,10y,10,4.6569
2014/01/06,15y,15,4.8736
2014/01/06,20y,20,5.0968
2014/01/06,30y,30,5.1988
2014/01/06,40y,40,5.2723
2014/01/06,50y,50,5.3272
2014/01/07,0d,0,1.9587
2014/01/07,1m,0.08,5.2607
2014/01/07,2m,0.17,4.6691
2014/01/07,3m,0.25,4.5358
2014/01/07,6m,0.5,4.1017
2014/01/07,9m,0.75,4.1466
2014/01/07,1y,1,4.2503
2014/01/07,2y,2,4.3528
2014/01/07,3y,3,4.3692
2014/01/07,4y,4,4.5339
2014/01/07,5y,5,4.5143
2014/01/07,6y,6,4.6885
2014/01/07,7y,7,4.6328
2014/01/07,8y,8,4.666
2014/01/07,9y,9,4.6696
2014/01/07,10y,10,4.642
2014/01/07,15y,15,4.8585
2014/01/07,20y,20,5.0817
2014/01/07,30y,30,5.1837
2014/01/07,40y,40,5.2572
2014/01/07,50y,50,5.3121
2014/01/08,0d,0,1.9587
2014/01/08,1m,0.08,4.9857
2014/01/08,2m,0.17,4.4682
2014/01/08,3m,0.25,4.4064
2014/01/08,6m,0.5,4.0223
