,term,term_d,rate
2013/01/04,0d,0,1.9617
2013/01/04,1m,0.08,2.5344
2013/01/04,2m,0.17,2.8781
2013/01/04,3m,0.25,2.7876
2013/01/04,6m,0.5,2.7967
2013/01/04,9m,0.75,2.8303
2013/01/04,1y,1,2.9189
2013/01/04,2y,2,3.0955
2013/01/04,3y,3,3.136
2013/01/04,4y,4,3.1822
2013/01/04,5y,5,3.2723
2013/01/04,6y,6,3.4246
2013/01/04,7y,7,3.5029
2013/01/04,8y,8,3.5287
2013/01/04,9y,9,3.5659
2013/01/04,10y,10,3.6062
2013/01/04,15y,15,3.8695
2013/01/04,20y,20,4.1012
2013/01/04,30y,30,4.2035
2013/01/04,40y,40,4.2903
2013/01/04,50y,50,4.3549
2013/01/05,0d,0,1.7086
2013/01/05,1m,0.08,2.427
2013/01/05,2m,0.17,2.8581
2013/01/05,3m,0.25,2.7486
2013/01/05,6m,0.5,2.7717
2013/01/05,9m,0.75,2.8059
2013/01/05,1y,1,2.8768
2013/01/05,2y,2,3.048
2013/01/05,3y,3,3.0942
2013/01/05,4y,4,3.1579
2013/01/05,5y,5,3.2541
2013/01/05,6y,6,3.4152
2013/01/05,7y,7,3.4961
2013/01/05,8y,8,3.5195
2013/01/05,9y,9,3.5581
2013/01/05,10y,10,3.6003
2013/01/05,15y,15,3.8661
2013/01/05,20y,20,4.0995
2013/01/05,30y,30,4.2026
2013/01/05,40y,40,4.2895
2013/01/05,50y,50,4.3541
2013/01/06,0d,0,1.6036
2013/01/06,1m,0.08,2.3814
2013/01/06,2m,0.17,2.8481
2013/01/06,3m,0.25,2.7178
2013/01/06,6m,0.5,2.7273
2013/01/06,9m,0.75,2.7962
2013/01/06,1y,1,2.8688
2013/01/06,2y,2,3.0391
2013/01/06,3y,3,3.0983
2013/01/06,4y,4,3.1537
2013/01/06,5y,5,3.24
2013/01/06,6y,6,3.4047
2013/01/06,7y,7,3.5002
2013/01/06,8y,8,3.5195
2013/01/06,9y,9,3.5555
2013/01/06,10y,10,3.595
2013/01/06,15y,15,3.8639
2013/01/06,20y,20,4.0984
2013/01/06,30y,30,4.2021
2013/01/06,40y,40,4.2889
2013/01/06,50y,50,4.3535
2013/01/07,0d,0,1.5575
2013/01/07,1m,0.08,2.3641
2013/01/07,2m,0.17,2.8481
2013/01/07,3m,0.25,2.7277
2013/01/07,6m,0.5,2.7136
2013/01/07,9m,0.75,2.7912
2013/01/07,1y,1,2.8689
2013/01/07,2y,2,3.0415
2013/01/07,3y,3,3.0912
2013/01/07,4y,4,3.1625
2013/01/07,5y,5,3.2407
2013/01/07,6y,6,3.4133
2013/01/07,7y,7,3.495
2013/01/07,8y,8,3.5194
2013/01/07,9y,9,3.5565
2013/01/07,10y,10,3.5965
2013/01/07,15y,15,3.8647
2013/01/07,20y,20,4.0988
2013/01/07,30y,30,4.2023
2013/01/07,40y,40,4.2892
2013/01/07,50y,50,4.3538
2013/01/08,0d,0,1.5496
2013/01/08,1m,0.08,2.3408
2013/01/08,2m,0.17,2.8181
2013/01/08,3m,0.25,2.6878
2013/01/08,6m,0.5,2.6829
2013/01/08,9m,0.75,2.7711
2013/01/08,1y,1,2.8498
2013/01/08,2y,2,3.0208
2013/01/08,3y,3,3.0646
2013/01/08,4y,4,3.1399
2013/01/08,5y,5,3.2183
2013/01/08,6y,6,3.4092
2013/01/08,7y,7,3.4743
2013/01/08,8y,8,3.5144
2013/01/08,9y,9,3.5545
2013/01/08,10y,10,3.5943
2013/01/08,15y,15,3.8647
2013/01/08,20y,20,4.0988
2013/01/08,30y,30,4.2023
2013/01/08,40y,40,4.2892
2013/01/08,50y,50,4.3538
2013/01/09,0d,0,1.5116
2013/01/09,1m,0.08,2.3282
2013/01/09,2m,0.17,2.8181
2013/01/09,3m,0.25,2.6975
2013/01/09,6m,0.5,2.6982
2013/01/09,9m,0.75,2.7551
2013/01/09,1y,1,2.8341
2013/01/09,2y,2,3.0088
2013/01/09,3y,3,3.0536
2013/01/09,4y,4,3.1483
2013/01/09,5y,5,3.2143
2013/01/09,6y,6,3.4034
2013/01/09,7y,7,3.4673
2013/01/09,8y,8,3.5089
2013/01/09,9y,9,3.5438
2013/01/09,10y,10,3.575
2013/01/09,15y,15,3.8553
2013/01/09,20y,20,4.0941
2013/01/09,30y,30,4.2023
2013/01/09,40y,40,4.2892
2013/01/09,50y,50,4.3538
2013/01/10,0d,0,1.5127
2013/01/10,1m,0.08,2.3269
2013/01/10,2m,0.17,2.8181
2013/01/10,3m,0.25,2.6973
2013/01/10,6m,0.5,2.7032
2013/01/10,9m,0.75,2.7639
2013/01/10,1y,1,2.8547
2013/01/10,2y,2,3.0298
2013/01/10,3y,3,3.0741
2013/01/10,4y,4,3.1733
2013/01/10,5y,5,3.2393
2013/01/10,6y,6,3.4168
2013/01/10,7y,7,3.4907
2013/01/10,8y,8,3.5306
2013/01/10,9y,9,3.5637
2013/01/10,10y,10,3.595
2013/01/10,15y,15,3.8641
2013/01/10,20y,20,4.0985
2013/01/10,30y,30,4.2045
2013/01/10,40y,40,4.2914
2013/01/10,50y,50,4.356
2013/01/11,0d,0,1.5086
2013/01/11,1m,0.08,2.3357
2013/01/11,2m,0.17,2.8346
2013/01/11,3m,0.25,2.7016
2013/01/11,6m,0.5,2.7074
2013/01/11,9m,0.75,2.7659
2013/01/11,1y,1,2.8648
2013/01/11,2y,2,3.0427
2013/01/11,3y,3,3.0869
2013/01/11,4y,4,3.2112
2013/01/11,5y,5,3.2607
2013/01/11,6y,6,3.4226
2013/01/11,7y,7,3.512
2013/01/11,8y,8,3.5379
2013/01/11,9y,9,3.5635
2013/01/11,10y,10,3.5999
2013/01/11,15y,15,3.8659
2013/01/11,20y,20,4.0994
2013/01/11,30y,30,4.2049
2013/01/11,40y,40,4.2919
2013/01/11,50y,50,4.3565
