,term,term_d,rate
2016-01-04,0d,0,1.927
2016-01-04,1m,0.08,2.2663
2016-01-04,2m,0.17,2.3035
2016-01-04,3m,0.25,2.3002
2016-01-04,6m,0.5,2.3166
2016-01-04,9m,0.75,2.343
2016-01-04,1y,1,2.3479
2016-01-04,3y,3,2.5697
2016-01-04,5y,5,2.7488
2016-01-04,7y,7,2.8701
2016-01-04,10y,10,2.871
2016-01-04,15y,15,3.1709
2016-01-04,20y,20,3.4885
2016-01-04,30y,30,3.6246
2016-01-04,40y,40,3.6869
2016-01-04,50y,50,3.7497
2016-01-05,0d,0,2.027
2016-01-05,1m,0.08,2.2816
2016-01-05,2m,0.17,2.3528
2016-01-05,3m,0.25,2.3
2016-01-05,6m,0.5,2.307
2016-01-05,9m,0.75,2.335
2016-01-05,1y,1,2.368
2016-01-05,3y,3,2.6173
2016-01-05,5y,5,2.7871
2016-01-05,7y,7,2.8999
2016-01-05,10y,10,2.8911
2016-01-05,15y,15,3.1909
2016-01-05,20y,20,3.5085
2016-01-05,30y,30,3.6446
2016-01-05,40y,40,3.7069
2016-01-05,50y,50,3.7697
2016-01-06,0d,0,2.009
2016-01-06,1m,0.08,2.3264
2016-01-06,2m,0.17,2.3333
2016-01-06,3m,0.25,2.3296
2016-01-06,6m,0.5,2.3299
2016-01-06,9m,0.75,2.3409
2016-01-06,1y,1,2.369
2016-01-06,3y,3,2.6322
2016-01-06,5y,5,2.7598
2016-01-06,7y,7,2.8817
2016-01-06,10y,10,2.8861
2016-01-06,15y,15,3.1748
2016-01-06,20y,20,3.4789
2016-01-06,30y,30,3.6155
2016-01-06,40y,40,3.6778
2016-01-06,50y,50,3.7406
2016-01-07,0d,0,1.955
2016-01-07,1m,0.08,2.2918
2016-01-07,2m,0.17,2.3482
2016-01-07,3m,0.25,2.3473
2016-01-07,6m,0.5,2.3412
2016-01-07,9m,0.75,2.3454
2016-01-07,1y,1,2.37
2016-01-07,3y,3,2.611
2016-01-07,5y,5,2.7538
2016-01-07,7y,7,2.8599
2016-01-07,10y,10,2.8511
2016-01-07,15y,15,3.1355
2016-01-07,20y,20,3.4396
2016-01-07,30y,30,3.5718
2016-01-07,40y,40,3.6363
2016-01-07,50y,50,3.7008
2016-01-08,0d,0,1.947
2016-01-08,1m,0.08,2.2966
2016-01-08,2m,0.17,2.3311
2016-01-08,3m,0.25,2.3219
2016-01-08,6m,0.5,2.3132
2016-01-08,9m,0.75,2.3362
