,term,term_d,rate,,
2015/12/28,2m,0.17,2.3068,,
2015/12/28,3m,0.25,2.3015,,
2015/12/28,6m,0.5,2.3137,,
2015/12/28,9m,0.75,2.3001,,
2015/12/28,1y,1,2.3076,,
2015/12/28,2y,2,2.4268,,
2015/12/28,3y,3,2.5413,,
2015/12/28,4y,4,2.6031,,
2015/12/28,5y,5,2.6585,,
2015/12/28,6y,6,2.7619,,
2015/12/28,7y,7,2.805,,
2015/12/28,8y,8,2.8026,,
2015/12/28,9y,9,2.7983,,
2015/12/28,10y,10,2.7961,,
2015/12/28,15y,15,3.1504,,
2015/12/28,20y,20,3.4847,,
2015/12/28,30y,30,3.6203,,
2015/12/28,40y,40,3.6826,,
2015/12/28,50y,50,3.7454,,
2015/12/29,0d,0,1.777,,
2015/12/29,1m,0.08,2.2893,,
2015/12/29,2m,0.17,2.3003,,
2015/12/29,3m,0.25,2.3015,,
2015/12/29,6m,0.5,2.3079,,
2015/12/29,9m,0.75,2.3023,,
2015/12/29,1y,1,2.3076,,
2015/12/29,2y,2,2.4128,,
2015/12/29,3y,3,2.5153,,
2015/12/29,4y,4,2.5888,,
2015/12/29,5y,5,2.66,,
2015/12/29,6y,6,2.7668,,
2015/12/29,7y,7,2.81,,
2015/12/29,8y,8,2.8088,,
2015/12/29,9y,9,2.8066,,
2015/12/29,10y,10,2.8061,,
2015/12/29,15y,15,3.1604,,
2015/12/29,20y,20,3.4947,,
2015/12/29,30y,30,3.6303,,
2015/12/29,40y,40,3.6926,,
2015/12/29,50y,50,3.7554,,
2015/12/30,0d,0,1.777,,
2015/12/30,1m,0.08,2.1987,,
2015/12/30,2m,0.17,2.2049,,
2015/12/30,3m,0.25,2.2656,,
2015/12/30,6m,0.5,2.261,,
2015/12/30,9m,0.75,2.2833,,
2015/12/30,1y,1,2.2979,,
2015/12/30,2y,2,2.4204,,
2015/12/30,3y,3,2.5395,,
2015/12/30,4y,4,2.623,,
2015/12/30,5y,5,2.7014,,
2015/12/30,6y,6,2.8023,,
2015/12/30,7y,7,2.8399,,
2015/12/30,8y,8,2.8363,,
2015/12/30,9y,9,2.8298,,
2015/12/30,10y,10,2.8261,,
2015/12/30,15y,15,3.1636,,
2015/12/30,20y,20,3.4811,,
2015/12/30,30y,30,3.6172,,
2015/12/30,40y,40,3.6795,,
2015/12/30,50y,50,3.7423,,
2015/12/31,0d,0,1.777,,
2015/12/31,1m,0.08,2.2017,,
2015/12/31,2m,0.17,2.2049,,
2015/12/31,3m,0.25,2.2507,,
2015/12/31,6m,0.5,2.2581,,
2015/12/31,9m,0.75,2.2943,,
2015/12/31,1y,1,2.2979,,
2015/12/31,2y,2,2.4235,,
2015/12/31,3y,3,2.5466,,
2015/12/31,4y,4,2.6265,,
2015/12/31,5y,5,2.7014,,
2015/12/31,6y,6,2.8008,,
2015/12/31,7y,7,2.8361,,
2015/12/31,8y,8,2.832,,
2015/12/31,9y,9,2.8255,,
2015/12/31,10y,10,2.8212,,
2015/12/31,15y,15,3.1587,,
2015/12/31,20y,20,3.4762,,
2015/12/31,30y,30,3.6123,,
2015/12/31,40y,40,3.6746,,
2015/12/31,50y,50,3.7374,,
