,display_name,date,weight,market_cap
000413.XSHE,东旭光电,2015-05-28,0.17,358.316
600315.XSHG,上海家化,2015-05-28,0.22,319.9121
600316.XSHG,洪都航空,2015-05-28,0.14,322.5581
002416.XSHE,爱施德,2015-05-28,0.03,207.503
600252.XSHG,中恒集团,2015-05-28,0.22,302.566
002570.XSHE,*ST因美,2015-05-28,0.11,233.6458
000825.XSHE,太钢不锈,2015-05-28,0.15,438.6111
000826.XSHE,启迪桑德,2015-05-28,0.17,396.9216
600256.XSHG,广汇能源,2015-05-28,0.29,590.021
000709.XSHE,河钢股份,2015-05-28,0.2,542.6109
000559.XSHE,万向钱潮,2015-05-28,0.15,453.3536
000156.XSHE,华数传媒,2015-05-28,0.03,741.9029
000157.XSHE,中联重科,2015-05-28,0.3,666.565
000623.XSHE,吉林敖东,2015-05-28,0.25,349.7254
002500.XSHE,山西证券,2015-05-28,0.19,618.8508
002375.XSHE,亚厦股份,2015-05-28,0.1,355.9455
000629.XSHE,攀钢钒钛,2015-05-28,0.2,424.3335
600893.XSHG,航发动力,2015-05-28,0.27,1367.2211
600783.XSHG,鲁信创投,2015-05-28,0.08,380.5909
600089.XSHG,特变电工,2015-05-28,0.4,548.5546
002415.XSHE,海康威视,2015-05-28,0.34,1838.432
603699.XSHG,纽威股份,2015-05-28,0.02,239.85
600085.XSHG,同仁堂,2015-05-28,0.18,505.3868
000792.XSHE,盐湖股份,2015-05-28,0.16,470.4726
000793.XSHE,华闻传媒,2015-05-28,0.16,426.6556
300027.XSHE,华谊兄弟,2015-05-28,0.26,523.2372
600340.XSHG,华夏幸福,2015-05-28,0.29,732.8754
600000.XSHG,浦发银行,2015-05-28,1.77,3178.5515
600648.XSHG,外高桥,2015-05-28,0.09,432.568
600649.XSHG,城投控股,2015-05-28,0.09,215.998
300124.XSHE,汇川技术,2015-05-28,0.18,461.9825
600415.XSHG,小商品城,2015-05-28,0.29,812.6719
601633.XSHG,长城汽车,2015-05-28,0.18,1431.7643
600008.XSHG,首创股份,2015-05-28,0.13,372.1514
600009.XSHG,上海机场,2015-05-28,0.23,588.8785
600066.XSHG,宇通客车,2015-05-28,0.24,511.674
002051.XSHE,中工国际,2015-05-28,0.1,263.0396
600060.XSHG,海信电器,2015-05-28,0.19,421.5926
000937.XSHE,冀中能源,2015-05-28,0.07,263.3851
601988.XSHG,中国银行,2015-05-28,0.98,12894.1855
601989.XSHG,中国重工,2015-05-28,0.93,3169.2234
601555.XSHG,东吴证券,2015-05-28,0.31,722.79
600068.XSHG,葛洲坝,2015-05-28,0.28,571.4529
000423.XSHE,东阿阿胶,2015-05-28,0.24,360.3659
600660.XSHG,福耀玻璃,2015-05-28,0.19,410.6607
601225.XSHG,陕西煤业,2015-05-28,0.04,1098.0
601866.XSHG,中远海发,2015-05-28,0.31,1144.9462
000630.XSHE,铜陵有色,2015-05-28,0.11,323.7234
600998.XSHG,九州通,2015-05-28,0.08,498.1803
601390.XSHG,中国中铁,2015-05-28,1.27,3968.1714
002400.XSHE,省广集团,2015-05-28,0.15,275.9393
600718.XSHG,东软集团,2015-05-28,0.2,374.7845
600023.XSHG,浙能电力,2015-05-28,0.07,1475.6749
601398.XSHG,工商银行,2015-05-28,0.88,18176.7188
600153.XSHG,建发股份,2015-05-28,0.23,495.3095
600150.XSHG,中国船舶,2015-05-28,0.34,825.7681
600663.XSHG,陆家嘴,2015-05-28,0.15,1000.8919
000024.XSHE,招商地产,2015-05-28,0.29,815.0308
600157.XSHG,永泰能源,2015-05-28,0.17,747.4575
000027.XSHE,深圳能源,2015-05-28,0.1,494.24
600867.XSHG,通化东宝,2015-05-28,0.19,336.1939
601901.XSHG,方正证券,2015-05-28,0.54,1141.7925
600863.XSHG,内蒙华电,2015-05-28,0.15,358.3379
600100.XSHG,同方股份,2015-05-28,0.32,809.4408
600398.XSHG,海澜之家,2015-05-28,0.08,730.5224
600795.XSHG,国电电力,2015-05-28,0.52,1369.6327
600011.XSHG,华能国际,2015-05-28,0.41,1590.5684
600010.XSHG,包钢股份,2015-05-28,0.47,2116.448
600016.XSHG,民生银行,2015-05-28,2.52,3440.1882
600015.XSHG,华夏银行,2015-05-28,0.63,1344.6012
601318.XSHG,中国平安,2015-05-28,4.01,7789.2109
600655.XSHG,豫园股份,2015-05-28,0.18,291.7764
600019.XSHG,宝钢股份,2015-05-28,0.39,1409.7711
600018.XSHG,上港集团,2015-05-28,0.22,2123.0583
600549.XSHG,厦门钨业,2015-05-28,0.12,346.5363
600395.XSHG,盘江股份,2015-05-28,0.06,212.1776
601258.XSHG,庞大集团,2015-05-28,0.11,398.527
002603.XSHE,以岭药业,2015-05-28,0.09,307.6109
601766.XSHG,中国中车,2015-05-28,1.31,8036.5391
600369.XSHG,西南证券,2015-05-28,0.24,660.1955
601992.XSHG,金隅集团,2015-05-28,0.12,566.9799
000536.XSHE,华映科技,2015-05-28,0.06,183.7125
000725.XSHE,京东方A,2015-05-28,0.4,1820.9453
600372.XSHG,中航电子,2015-05-28,0.17,744.1259
600373.XSHG,中文传媒,2015-05-28,0.1,471.8067
000538.XSHE,云南白药,2015-05-28,0.32,743.0387
000728.XSHE,国元证券,2015-05-28,0.31,644.2248
600079.XSHG,人福医药,2015-05-28,0.15,282.3521
000400.XSHE,许继电气,2015-05-28,0.15,305.2207
000686.XSHE,东北证券,2015-05-28,0.25,455.4325
000338.XSHE,潍柴动力,2015-05-28,0.29,621.3854
002024.XSHE,苏宁易购,2015-05-28,0.51,1412.3762
601888.XSHG,中国国旅,2015-05-28,0.18,501.3957
600547.XSHG,山东黄金,2015-05-28,0.2,414.541
600873.XSHG,梅花生物,2015-05-28,0.15,354.6487
601336.XSHG,新华保险,2015-05-28,0.39,1858.9377
600143.XSHG,金发科技,2015-05-28,0.13,349.184
600383.XSHG,金地集团,2015-05-28,0.52,596.0172
600900.XSHG,长江电力,2015-05-28,0.57,2151.6001
000039.XSHE,中集集团,2015-05-28,0.19,704.2376
601857.XSHG,中国石油,2015-05-28,0.57,22328.5586
600703.XSHG,三安光电,2015-05-28,0.23,719.8399
000983.XSHE,西山煤电,2015-05-28,0.13,282.0324
600999.XSHG,招商证券,2015-05-28,0.75,1808.6534
002292.XSHE,奥飞娱乐,2015-05-28,0.1,478.8843
000783.XSHE,长江证券,2015-05-28,0.51,826.1379
600705.XSHG,中航资本,2015-05-28,0.35,967.5154
002450.XSHE,ST康得新,2015-05-28,0.31,602.9830000000002
600570.XSHG,恒生电子,2015-05-28,0.54,740.8102
002153.XSHE,石基信息,2015-05-28,0.14,523.0929
600267.XSHG,海正药业,2015-05-28,0.09,232.6932
601158.XSHG,重庆水务,2015-05-28,0.06,607.68
000831.XSHE,五矿稀土,2015-05-28,0.19,347.0385
600578.XSHG,京能电力,2015-05-28,0.1,356.4572
600498.XSHG,烽火通信,2015-05-28,0.12,337.0504
600664.XSHG,哈药股份,2015-05-28,0.09,225.8795
000839.XSHE,中信国安,2015-05-28,0.16,344.3175
300015.XSHE,爱尔眼科,2015-05-28,0.09,299.4848
000625.XSHE,长安汽车,2015-05-28,0.5,1022.5709
002475.XSHE,立讯精密,2015-05-28,0.09,399.8265
600688.XSHG,上海石化,2015-05-28,0.19,977.4
002344.XSHE,海宁皮城,2015-05-28,0.12,287.84
002252.XSHE,上海莱士,2015-05-28,0.15,911.3573
600352.XSHG,浙江龙盛,2015-05-28,0.3,544.2824
600048.XSHG,保利地产,2015-05-28,0.84,1324.5479
600362.XSHG,江西铜业,2015-05-28,0.17,834.8641
600208.XSHG,新湖中宝,2015-05-28,0.19,728.3628
000917.XSHE,电广传媒,2015-05-28,0.18,607.9899
603288.XSHG,海天味业,2015-05-28,0.08,1001.3843
000750.XSHE,国海证券,2015-05-28,0.15,464.3826
000999.XSHE,华润三九,2015-05-28,0.1,322.0581
601628.XSHG,中国人寿,2015-05-28,0.55,10098.9795
601928.XSHG,凤凰传媒,2015-05-28,0.12,496.51
002038.XSHE,双鹭药业,2015-05-28,0.13,298.0881
002470.XSHE,金正大,2015-05-28,0.12,437.2843
601009.XSHG,南京银行,2015-05-28,0.27,544.5023
600674.XSHG,川投能源,2015-05-28,0.24,541.6834
603993.XSHG,洛阳钼业,2015-05-28,0.04,801.0197
300146.XSHE,汤臣倍健,2015-05-28,0.11,337.0691
002422.XSHE,科伦药业,2015-05-28,0.12,316.8
600177.XSHG,雅戈尔,2015-05-28,0.3,502.5463
600170.XSHG,上海建工,2015-05-28,0.15,763.703
601006.XSHG,大秦铁路,2015-05-28,0.73,1853.8889
601168.XSHG,西部矿业,2015-05-28,0.2,269.9939
601169.XSHG,北京银行,2015-05-28,0.72,1370.7128
600271.XSHG,航天信息,2015-05-28,0.29,810.9299
601098.XSHG,中南传媒,2015-05-28,0.15,492.104
600277.XSHG,亿利洁能,2015-05-28,0.08,277.7064
600276.XSHG,恒瑞医药,2015-05-28,0.37,915.4911
300070.XSHE,碧水源,2015-05-28,0.23,618.2704
601088.XSHG,中国神华,2015-05-28,0.39,4123.1182
601166.XSHG,兴业银行,2015-05-28,1.94,3437.0415
600809.XSHG,山西汾酒,2015-05-28,0.05,200.617
600196.XSHG,复星医药,2015-05-28,0.28,715.6034
601231.XSHG,环旭电子,2015-05-28,0.04,435.7287
002673.XSHE,西部证券,2015-05-28,0.23,903.9474
600058.XSHG,五矿发展,2015-05-28,0.09,294.0251
600690.XSHG,青岛海尔,2015-05-28,0.36,886.4224
002129.XSHE,中环股份,2015-05-28,0.19,662.0118
002230.XSHE,科大讯飞,2015-05-28,0.36,617.5214
601186.XSHG,中国铁建,2015-05-28,0.68,2656.2727
002236.XSHE,大华股份,2015-05-28,0.19,495.0245
600050.XSHG,中国联通,2015-05-28,0.71,1903.4543
601933.XSHG,永辉超市,2015-05-28,0.2,551.5579
002001.XSHE,新和成,2015-05-28,0.09,233.682
600597.XSHG,光明乳业,2015-05-28,0.11,240.7125
600497.XSHG,驰宏锌锗,2015-05-28,0.15,262.3073
002007.XSHE,华兰生物,2015-05-28,0.14,351.6894
002008.XSHE,大族激光,2015-05-28,0.2,314.1525
601898.XSHG,中煤能源,2015-05-28,0.15,1123.0088
601939.XSHG,建设银行,2015-05-28,0.57,15900.6982
000598.XSHE,兴蓉环境,2015-05-28,0.17,313.8516
600600.XSHG,青岛啤酒,2015-05-28,0.13,677.653
300024.XSHE,机器人,2015-05-28,0.27,647.6486
600166.XSHG,福田汽车,2015-05-28,0.12,300.8229
601179.XSHG,中国西电,2015-05-28,0.21,555.1331
600880.XSHG,博瑞传播,2015-05-28,0.08,176.3545
600518.XSHG,康美药业,2015-05-28,0.52,879.9255
600519.XSHG,贵州茅台,2015-05-28,1.01,2981.8711
601998.XSHG,中信银行,2015-05-28,0.22,3495.0132
000858.XSHE,五粮液,2015-05-28,0.43,1024.911
600516.XSHG,方大炭素,2015-05-28,0.12,224.1785
000729.XSHE,燕京啤酒,2015-05-28,0.13,305.6924
600221.XSHG,海航控股,2015-05-28,0.31,667.5836
600028.XSHG,中国石化,2015-05-28,0.45,8886.627
600029.XSHG,南方航空,2015-05-28,0.33,972.9209
000166.XSHE,申万宏源,2015-05-28,0.71,2749.9834
000503.XSHE,国新健康,2015-05-28,0.32,548.4613
002310.XSHE,东方园林,2015-05-28,0.1,386.9419
600188.XSHG,兖州煤业,2015-05-28,0.05,735.3008
601699.XSHG,潞安环能,2015-05-28,0.11,303.0528
000581.XSHE,威孚高科,2015-05-28,0.19,361.3552
002429.XSHE,兆驰股份,2015-05-28,0.07,226.6908
000060.XSHE,中金岭南,2015-05-28,0.21,469.2984
000061.XSHE,农产品,2015-05-28,0.23,427.635
000776.XSHE,广发证券,2015-05-28,0.73,1980.7207
000063.XSHE,中兴通讯,2015-05-28,0.54,1054.6377
000778.XSHE,新兴铸管,2015-05-28,0.15,282.7207
600588.XSHG,用友网络,2015-05-28,0.25,754.3001
601299.XSHG,中国北车,2015-05-28,1.15,3675.4822
000069.XSHE,华侨城A,2015-05-28,0.33,807.1189999999998
002241.XSHE,歌尔股份,2015-05-28,0.22,564.7791
601669.XSHG,中国电建,2015-05-28,0.46,1438.08
601668.XSHG,中国建筑,2015-05-28,1.43,2868.0
000333.XSHE,美的集团,2015-05-28,0.68,1557.5122
600642.XSHG,申能股份,2015-05-28,0.21,497.0826
300058.XSHE,蓝色光标,2015-05-28,0.15,355.8847
000100.XSHE,TCL集团,2015-05-28,0.46,796.8217
002146.XSHE,荣盛发展,2015-05-28,0.12,387.916
000869.XSHE,张裕A,2015-05-28,0.05,350.9576
600118.XSHG,中国卫星,2015-05-28,0.25,837.3206
600115.XSHG,东方航空,2015-05-28,0.2,1101.394
601216.XSHG,君正集团,2015-05-28,0.13,555.6224
600436.XSHG,片仔癀,2015-05-28,0.1,293.4696
600111.XSHG,北方稀土,2015-05-28,0.41,854.1338
601929.XSHG,吉视传媒,2015-05-28,0.12,237.5051
600038.XSHG,中直股份,2015-05-28,0.08,456.6087
600332.XSHG,白云山,2015-05-28,0.17,494.7416
601899.XSHG,紫金矿业,2015-05-28,0.36,1367.7164
002304.XSHE,洋河股份,2015-05-28,0.26,1001.0706
600031.XSHG,三一重工,2015-05-28,0.28,983.2907
600030.XSHG,中信证券,2015-05-28,2.36,3385.4961
002142.XSHE,宁波银行,2015-05-28,0.17,620.7172
002081.XSHE,金螳螂,2015-05-28,0.23,573.2455
601727.XSHG,上海电气,2015-05-28,0.31,2795.5505
000800.XSHE,一汽轿车,2015-05-28,0.17,378.3938
600036.XSHG,招商银行,2015-05-28,2.63,4519.3965
600832.XSHG,东方明珠,2015-05-28,0.32,738.5924
002294.XSHE,信立泰,2015-05-28,0.09,361.8169
000883.XSHE,湖北能源,2015-05-28,0.12,660.0357
600837.XSHG,海通证券,2015-05-28,2.02,2765.6074
000768.XSHE,中航飞机,2015-05-28,0.4,1045.3455
600839.XSHG,四川长虹,2015-05-28,0.26,391.9191
601288.XSHG,农业银行,2015-05-28,0.92,11919.9443
600875.XSHG,东方电气,2015-05-28,0.24,640.077
601818.XSHG,光大银行,2015-05-28,0.97,2408.6414
002202.XSHE,金风科技,2015-05-28,0.27,631.8809
002065.XSHE,东华软件,2015-05-28,0.24,632.9247
601111.XSHG,中国国航,2015-05-28,0.19,1507.3633
600535.XSHG,天士力,2015-05-28,0.26,583.565
002353.XSHE,杰瑞股份,2015-05-28,0.16,425.7088
600309.XSHG,万华化学,2015-05-28,0.23,566.5317
600741.XSHG,华域汽车,2015-05-28,0.19,538.5972
601688.XSHG,华泰证券,2015-05-28,0.71,1678.3199
601118.XSHG,海南橡胶,2015-05-28,0.12,486.679
002653.XSHE,海思科,2015-05-28,0.05,328.9422
600583.XSHG,海油工程,2015-05-28,0.22,603.9571
601958.XSHG,金钼股份,2015-05-28,0.13,458.8231
002399.XSHE,海普瑞,2015-05-28,0.08,336.084
000970.XSHE,中科三环,2015-05-28,0.18,247.659
000878.XSHE,云南铜业,2015-05-28,0.11,280.7302
600109.XSHG,国金证券,2015-05-28,0.43,827.1623
600108.XSHG,亚盛集团,2015-05-28,0.15,241.6122
601618.XSHG,中国中冶,2015-05-28,0.47,1693.146
000425.XSHE,徐工机械,2015-05-28,0.18,354.2144
600104.XSHG,上汽集团,2015-05-28,0.78,2663.7769
600348.XSHG,阳泉煤业,2015-05-28,0.12,255.1705
000876.XSHE,新希望,2015-05-28,0.12,471.2189
601328.XSHG,交通银行,2015-05-28,0.95,4953.3237
000402.XSHE,金融街,2015-05-28,0.29,379.5941
000651.XSHE,格力电器,2015-05-28,1.2,1741.2533
000401.XSHE,冀东水泥,2015-05-28,0.1,230.2917
601333.XSHG,广深铁路,2015-05-28,0.21,505.0562
002410.XSHE,广联达,2015-05-28,0.13,363.3409
002594.XSHE,比亚迪,2015-05-28,0.25,1881.76
600027.XSHG,华电国际,2015-05-28,0.16,765.3535
000895.XSHE,双汇发展,2015-05-28,0.22,843.7018
603000.XSHG,人民网,2015-05-28,0.15,386.7154
601800.XSHG,中国交建,2015-05-28,0.27,2997.1785
000568.XSHE,泸州老窖,2015-05-28,0.16,355.7515
002385.XSHE,大北农,2015-05-28,0.17,465.779
300017.XSHE,网宿科技,2015-05-28,0.21,381.3069
600804.XSHG,鹏博士,2015-05-28,0.33,576.0765
601018.XSHG,宁波港,2015-05-28,0.31,1493.76
601808.XSHG,中海油服,2015-05-28,0.14,1224.8677
002465.XSHE,海格通信,2015-05-28,0.21,398.6088
000898.XSHE,鞍钢股份,2015-05-28,0.12,510.054
600489.XSHG,中金黄金,2015-05-28,0.21,437.9524
600886.XSHG,国投电力,2015-05-28,0.37,782.4285
600887.XSHG,伊利股份,2015-05-28,0.98,1293.7775
000002.XSHE,万科A,2015-05-28,1.24,1585.1328
601117.XSHG,中国化学,2015-05-28,0.23,575.6811
000001.XSHE,平安银行,2015-05-28,1.0,2217.8447
600633.XSHG,浙数文化,2015-05-28,0.13,302.3004
300133.XSHE,华策影视,2015-05-28,0.08,308.7757
600739.XSHG,辽宁成大,2015-05-28,0.32,501.8978
600637.XSHG,东方明珠,2015-05-28,0.41,1651.7643
600485.XSHG,信威集团,2015-05-28,0.06,1687.292
000009.XSHE,中国宝安,2015-05-28,0.25,336.4123
000960.XSHE,锡业股份,2015-05-28,0.16,272.8392
000963.XSHE,华东医药,2015-05-28,0.13,326.1093
300251.XSHE,光线传媒,2015-05-28,0.13,434.6254
601377.XSHG,兴业证券,2015-05-28,0.55,842.4
600406.XSHG,国电南瑞,2015-05-28,0.3,596.308
002456.XSHE,欧菲光,2015-05-28,0.16,443.3693
600585.XSHG,海螺水泥,2015-05-28,0.42,1329.0651
601607.XSHG,上海医药,2015-05-28,0.22,731.6526
601601.XSHG,中国太保,2015-05-28,0.96,2977.7732
601600.XSHG,中国铝业,2015-05-28,0.32,1228.0236
600827.XSHG,百联股份,2015-05-28,0.14,365.6858
