,display_name,date,weight,market_cap
600000.XSHG,浦发银行,2011-09-29,1.96,1576.2183
600004.XSHG,白云机场,2011-09-29,0.07,82.11
600005.XSHG,武钢股份,2011-09-29,0.28,334.1041
600008.XSHG,首创股份,2011-09-29,0.11,108.46
600009.XSHG,上海机场,2011-09-29,0.24,227.1884
600010.XSHG,包钢股份,2011-09-29,0.3,361.0088
600015.XSHG,华夏银行,2011-09-29,0.56,678.8078
600016.XSHG,民生银行,2011-09-29,2.63,1498.6965
600018.XSHG,上港集团,2011-09-29,0.13,682.6554
600019.XSHG,宝钢股份,2011-09-29,0.55,889.612
600026.XSHG,中海发展,2011-09-29,0.09,231.1691
600028.XSHG,中国石化,2011-09-29,0.6,6008.4854
600029.XSHG,南方航空,2011-09-29,0.28,632.2513
600030.XSHG,中信证券,2011-09-29,1.64,1129.8317
600031.XSHG,三一重工,2011-09-29,0.93,1123.1091
600036.XSHG,招商银行,2011-09-29,2.83,2382.0576
600037.XSHG,歌华有线,2011-09-29,0.12,95.3268
600048.XSHG,保利地产,2011-09-29,0.68,548.4359
600050.XSHG,中国联通,2011-09-29,0.91,1095.864
600058.XSHG,五矿发展,2011-09-29,0.21,251.0415
600062.XSHG,双鹤药业,2011-09-29,0.14,113.8818
600066.XSHG,宇通客车,2011-09-29,0.15,104.6022
600068.XSHG,葛洲坝,2011-09-29,0.35,281.4379
600085.XSHG,同仁堂,2011-09-29,0.19,182.9402
600089.XSHG,特变电工,2011-09-29,0.57,273.8347
600096.XSHG,云天化,2011-09-29,0.11,136.3685
600100.XSHG,同方股份,2011-09-29,0.23,156.6308
600104.XSHG,上海汽车,2011-09-29,0.62,1487.1057
600108.XSHG,亚盛集团,2011-09-29,0.15,91.5394
600109.XSHG,国金证券,2011-09-29,0.07,116.7283
600111.XSHG,包钢稀土,2011-09-29,0.83,665.8199
600118.XSHG,中国卫星,2011-09-29,0.15,148.34799999999996
600123.XSHG,兰花科创,2011-09-29,0.31,250.0142
600125.XSHG,铁龙物流,2011-09-29,0.18,121.9357
600132.XSHG,重庆啤酒,2011-09-29,0.37,299.7234
600143.XSHG,金发科技,2011-09-29,0.26,210.3129
600150.XSHG,中国船舶,2011-09-29,0.27,329.0521
600151.XSHG,航天机电,2011-09-29,0.1,96.9922
600153.XSHG,建发股份,2011-09-29,0.2,164.4747
600161.XSHG,天坛生物,2011-09-29,0.09,84.4335
600166.XSHG,福田汽车,2011-09-29,0.2,156.7486
600169.XSHG,太原重工,2011-09-29,0.14,115.7035
600170.XSHG,上海建工,2011-09-29,0.08,128.703
600177.XSHG,雅戈尔,2011-09-29,0.26,207.7429
600183.XSHG,生益科技,2011-09-29,0.1,94.4665
600188.XSHG,兖州煤业,2011-09-29,0.36,1425.8442
600196.XSHG,复星医药,2011-09-29,0.18,177.2989
600208.XSHG,新湖中宝,2011-09-29,0.15,234.144
600216.XSHG,浙江医药,2011-09-29,0.15,118.2308
600219.XSHG,南山铝业,2011-09-29,0.18,147.576
600220.XSHG,江苏阳光,2011-09-29,0.1,71.3336
