,display_name,date,weight,market_cap
600259.XSHG,广晟有色,2013-11-01,0.1,107.9653
600315.XSHG,上海家化,2013-11-01,0.37,281.6865
600316.XSHG,洪都航空,2013-11-01,0.14,113.7344
600252.XSHG,中恒集团,2013-11-01,0.23,146.0758
002570.XSHE,*ST因美,2013-11-01,0.25,207.5716
600170.XSHG,上海建工,2013-11-01,0.1,175.6744
600256.XSHG,广汇能源,2013-11-01,0.74,569.2837
000709.XSHE,河钢股份,2013-11-01,0.16,201.7535
000156.XSHE,华数传媒,2013-11-01,0.03,254.8391
000157.XSHE,中联重科,2013-11-01,0.5,439.2394
002236.XSHE,大华股份,2013-11-01,0.36,470.1438
000623.XSHE,吉林敖东,2013-11-01,0.25,153.3067
002155.XSHE,湖南黄金,2013-11-01,0.13,96.9369
600588.XSHG,用友网络,2013-11-01,0.11,110.4092
000703.XSHE,恒逸石化,2013-11-01,0.06,98.2857
002375.XSHE,亚厦股份,2013-11-01,0.17,174.9995
000629.XSHE,攀钢钒钛,2013-11-01,0.19,196.7052
600893.XSHG,航发动力,2013-11-01,0.18,184.2468
002294.XSHE,信立泰,2013-11-01,0.14,239.9953
600125.XSHG,铁龙物流,2013-11-01,0.11,76.6341
600123.XSHG,兰花科创,2013-11-01,0.16,138.4589
600089.XSHG,特变电工,2013-11-01,0.57,290.7023
600895.XSHG,张江高科,2013-11-01,0.11,116.3066
000012.XSHE,南玻A,2013-11-01,0.23,184.7049
600085.XSHG,同仁堂,2013-11-01,0.25,248.7845
601238.XSHG,广汽集团,2013-11-01,0.14,540.5417
601369.XSHG,陕鼓动力,2013-11-01,0.07,111.1086
000792.XSHE,盐湖股份,2013-11-01,0.21,261.4797
600005.XSHG,武钢股份,2013-11-01,0.19,235.1851
600340.XSHG,华夏幸福,2013-11-01,0.25,314.8454
600000.XSHG,浦发银行,2013-11-01,2.3,1943.6917
600550.XSHG,保变电气,2013-11-01,0.07,74.1415
600649.XSHG,城投控股,2013-11-01,0.24,245.8732
601117.XSHG,中国化学,2013-11-01,0.28,355.6693
600415.XSHG,小商品城,2013-11-01,0.19,182.3477
601633.XSHG,长城汽车,2013-11-01,0.34,1329.2346
600642.XSHG,申能股份,2013-11-01,0.21,208.0282
600009.XSHG,上海机场,2013-11-01,0.28,287.3095
002092.XSHE,中泰化学,2013-11-01,0.1,72.7095
600066.XSHG,宇通客车,2013-11-01,0.28,207.4873
002051.XSHE,中工国际,2013-11-01,0.08,126.0387
600062.XSHG,华润双鹤,2013-11-01,0.14,114.9681
600060.XSHG,海信电器,2013-11-01,0.18,151.9628
000937.XSHE,冀中能源,2013-11-01,0.11,190.1191
601988.XSHG,中国银行,2013-11-01,0.36,7899.9019
600432.XSHG,退市吉恩,2013-11-01,0.07,70.16199999999999
601555.XSHG,东吴证券,2013-11-01,0.18,152.4
000933.XSHE,神火股份,2013-11-01,0.1,99.0161
000422.XSHE,*ST宜化,2013-11-01,0.12,58.7205
000423.XSHE,东阿阿胶,2013-11-01,0.45,290.6472
601101.XSHG,昊华能源,2013-11-01,0.07,94.3199
000630.XSHE,铜陵有色,2013-11-01,0.15,152.6806
601390.XSHG,中国中铁,2013-11-01,0.29,613.4371
600718.XSHG,东软集团,2013-11-01,0.23,161.0604
601398.XSHG,工商银行,2013-11-01,1.25,13461.9336
600153.XSHG,建发股份,2013-11-01,0.19,160.4467
