,display_name,date,weight,market_cap
002044.XSHE,美年健康,2018-03-05,0.205,621.1918
000413.XSHE,东旭光电,2018-03-05,0.26899999999999996,468.7345
000415.XSHE,渤海租赁,2018-03-05,0.09300000000000001,361.176
002426.XSHE,胜利精密,2018-03-05,0.095,187.4859
600909.XSHG,华安证券,2018-03-05,0.069,268.3161
600999.XSHG,招商证券,2018-03-05,0.33399999999999996,1139.5695
000826.XSHE,启迪桑德,2018-03-05,0.127,296.232
002294.XSHE,信立泰,2018-03-05,0.14,408.5738
000709.XSHE,河钢股份,2018-03-05,0.14400000000000002,405.6308
000627.XSHE,天茂集团,2018-03-05,0.095,373.5116
000625.XSHE,长安汽车,2018-03-05,0.2,578.7191
000623.XSHE,吉林敖东,2018-03-05,0.166,240.6934
002450.XSHE,ST康得新,2018-03-05,0.358,700.1879
600816.XSHG,安信信托,2018-03-05,0.2,583.8305
600498.XSHG,烽火通信,2018-03-05,0.135,325.8271
600893.XSHG,航发动力,2018-03-05,0.19899999999999998,605.2082
601877.XSHG,正泰电器,2018-03-05,0.086,498.7011
601872.XSHG,招商轮船,2018-03-05,0.07200000000000001,215.158
600089.XSHG,特变电工,2018-03-05,0.28600000000000003,335.7911
600895.XSHG,张江高科,2018-03-05,0.08,214.6484
600085.XSHG,同仁堂,2018-03-05,0.152,440.9277
601229.XSHG,上海银行,2018-03-05,0.11199999999999999,1178.6735
601228.XSHG,广州港,2018-03-05,0.037000000000000005,365.3976
002841.XSHE,视源股份,2018-03-05,0.025,305.8314
601878.XSHG,浙商证券,2018-03-05,0.042,446.0
000792.XSHE,盐湖股份,2018-03-05,0.154,358.2913
300024.XSHE,机器人,2018-03-05,0.16699999999999998,297.2256
300027.XSHE,华谊兄弟,2018-03-05,0.14,271.9016
600436.XSHG,片仔癀,2018-03-05,0.188,467.1485
600000.XSHG,浦发银行,2018-03-05,1.249,3645.5283
000959.XSHE,首钢股份,2018-03-05,0.078,295.6769
600649.XSHG,城投控股,2018-03-05,0.091,211.9784
300124.XSHE,汇川技术,2018-03-05,0.26899999999999996,535.029
600415.XSHG,小商品城,2018-03-05,0.125,292.3006
601633.XSHG,长城汽车,2018-03-05,0.132,1157.3376
600008.XSHG,首创股份,2018-03-05,0.102,240.0666
600009.XSHG,上海机场,2018-03-05,0.402,967.7185
300144.XSHE,宋城演艺,2018-03-05,0.122,281.6607
600066.XSHG,宇通客车,2018-03-05,0.263,520.7185
000938.XSHE,紫光股份,2018-03-05,0.075,719.1892
600061.XSHG,国投资本,2018-03-05,0.08900000000000001,529.6594
000425.XSHE,徐工机械,2018-03-05,0.152,296.4269
601988.XSHG,中国银行,2018-03-05,0.7609999999999999,12246.5322
601989.XSHG,中国重工,2018-03-05,0.467,1283.5564
000738.XSHE,航发控制,2018-03-05,0.059000000000000004,181.8134
600958.XSHG,东方证券,2018-03-05,0.342,932.9537
600068.XSHG,葛洲坝,2018-03-05,0.223,428.2443
000423.XSHE,东阿阿胶,2018-03-05,0.26899999999999996,395.029
601155.XSHG,新城控股,2018-03-05,0.261,804.9832
300251.XSHE,光线传媒,2018-03-05,0.094,381.3691
000630.XSHE,铜陵有色,2018-03-05,0.15,287.3744
601390.XSHG,中国中铁,2018-03-05,0.364,1733.8824
601377.XSHG,兴业证券,2018-03-05,0.27399999999999997,461.4007
002415.XSHE,海康威视,2018-03-05,1.3419999999999999,3944.417
601398.XSHG,工商银行,2018-03-05,1.229,23594.0938
601021.XSHG,春秋航空,2018-03-05,0.078,309.5447
600153.XSHG,建发股份,2018-03-05,0.149,342.2087
601866.XSHG,中远海发,2018-03-05,0.085,368.0184
601788.XSHG,光大证券,2018-03-05,0.215,596.6359
600157.XSHG,永泰能源,2018-03-05,0.17800000000000002,417.5067
300315.XSHE,掌趣科技,2018-03-05,0.12300000000000001,185.3371
000559.XSHE,万向钱潮,2018-03-05,0.105,249.7116
002601.XSHE,龙蟒佰利,2018-03-05,0.095,373.7024
002608.XSHE,江苏国信,2018-03-05,0.052000000000000005,302.5425
000876.XSHE,新希望,2018-03-05,0.136,319.5739
600795.XSHG,国电电力,2018-03-05,0.302,607.1973
600011.XSHG,华能国际,2018-03-05,0.222,986.5049
600010.XSHG,包钢股份,2018-03-05,0.27699999999999997,1057.5728
600016.XSHG,民生银行,2018-03-05,1.714,3075.7148
600015.XSHG,华夏银行,2018-03-05,0.509,1192.5099
601318.XSHG,中国平安,2018-03-05,6.268,12408.6279
600390.XSHG,五矿资本,2018-03-05,0.031,403.3265
600019.XSHG,宝钢股份,2018-03-05,0.758,2117.6975
600018.XSHG,上港集团,2018-03-05,0.195,1779.7382
600549.XSHG,厦门钨业,2018-03-05,0.09300000000000001,273.4204
000723.XSHE,美锦能源,2018-03-05,0.066,251.283
600074.XSHG,*ST保千,2018-03-05,0.023,54.8524
601992.XSHG,金隅集团,2018-03-05,0.152,560.5830000000002
000725.XSHE,京东方A,2018-03-05,1.146,1945.2305
600372.XSHG,中航电子,2018-03-05,0.06,236.0797
600373.XSHG,中文传媒,2018-03-05,0.077,225.431
000538.XSHE,云南白药,2018-03-05,0.415,1008.2832
000728.XSHE,国元证券,2018-03-05,0.165,317.3617
600376.XSHG,首开股份,2018-03-05,0.102,235.2564
000686.XSHE,东北证券,2018-03-05,0.09699999999999999,187.9384
000338.XSHE,潍柴动力,2018-03-05,0.35200000000000004,655.7736
002027.XSHE,分众传媒,2018-03-05,0.628,1812.7181
002024.XSHE,苏宁易购,2018-03-05,0.39799999999999996,1192.6161
601211.XSHG,国泰君安,2018-03-05,0.573,1541.4958
002081.XSHE,金螳螂,2018-03-05,0.192,362.1333
600547.XSHG,山东黄金,2018-03-05,0.165,496.2221
002352.XSHE,顺丰控股,2018-03-05,0.094,2236.3569
601628.XSHG,中国人寿,2018-03-05,0.382,7608.8584
601919.XSHG,中远海控,2018-03-05,0.19699999999999998,609.9116
601718.XSHG,际华集团,2018-03-05,0.06,236.2697
600383.XSHG,金地集团,2018-03-05,0.247,549.4248
600900.XSHG,长江电力,2018-03-05,0.9279999999999999,3704.8
601857.XSHG,中国石油,2018-03-05,0.442,14659.9805
600703.XSHG,三安光电,2018-03-05,0.536,1040.4062
002456.XSHE,欧菲光,2018-03-05,0.35,570.0337
002292.XSHE,奥飞娱乐,2018-03-05,0.052000000000000005,161.3663
600871.XSHG,石化油服,2018-03-05,0.037000000000000005,430.9445
000783.XSHE,长江证券,2018-03-05,0.247,409.1806
600705.XSHG,中航资本,2018-03-05,0.21,488.3121
600704.XSHG,物产中大,2018-03-05,0.098,285.9637
600570.XSHG,恒生电子,2018-03-05,0.201,313.1654
