,display_name,date,weight,market_cap
000413.XSHE,东旭光电,2016-10-27,0.309,690.1081
000415.XSHE,渤海租赁,2016-10-27,0.151,444.0486
600317.XSHG,营口港,2016-10-27,0.076,228.4963
601009.XSHG,南京银行,2016-10-27,0.424,631.3186
600252.XSHG,中恒集团,2016-10-27,0.138,158.8124
000825.XSHE,太钢不锈,2016-10-27,0.091,231.8373
000826.XSHE,启迪桑德,2016-10-27,0.193,290.1195
600256.XSHG,广汇能源,2016-10-27,0.146,222.4327
000709.XSHE,河钢股份,2016-10-27,0.149,333.4243
000559.XSHE,万向钱潮,2016-10-27,0.18899999999999997,344.6038
000156.XSHE,华数传媒,2016-10-27,0.08800000000000001,276.6369
000157.XSHE,中联重科,2016-10-27,0.231,345.6524
000623.XSHE,吉林敖东,2016-10-27,0.20800000000000002,238.0995
600827.XSHG,百联股份,2016-10-27,0.109,229.8009
002450.XSHE,ST康得新,2016-10-27,0.529,631.9105
600816.XSHG,安信信托,2016-10-27,0.201,396.8093
600893.XSHG,航发动力,2016-10-27,0.304,682.0516
600783.XSHG,鲁信创投,2016-10-27,0.08199999999999999,191.6725
601872.XSHG,招商轮船,2016-10-27,0.12300000000000001,296.2397
600089.XSHG,特变电工,2016-10-27,0.254,289.6428
600895.XSHG,张江高科,2016-10-27,0.16,286.6624
601117.XSHG,中国化学,2016-10-27,0.124,301.8996
600085.XSHG,同仁堂,2016-10-27,0.19,436.8133
000792.XSHE,盐湖股份,2016-10-27,0.158,361.8203
600005.XSHG,武钢股份,2016-10-27,0.127,319.9728
300027.XSHE,华谊兄弟,2016-10-27,0.27399999999999997,344.86800000000005
600000.XSHG,浦发银行,2016-10-27,1.62,3499.9995
600648.XSHG,外高桥,2016-10-27,0.085,229.6811
600649.XSHG,城投控股,2016-10-27,0.244,544.3268
001979.XSHE,招商蛇口,2016-10-27,0.431,1340.5341
300124.XSHE,汇川技术,2016-10-27,0.205,323.3636
600415.XSHG,小商品城,2016-10-27,0.251,427.8366
601633.XSHG,长城汽车,2016-10-27,0.146,961.1014
600008.XSHG,首创股份,2016-10-27,0.115,206.8043
600009.XSHG,上海机场,2016-10-27,0.295,526.6377
300144.XSHE,宋城演艺,2016-10-27,0.162,355.8903
600066.XSHG,宇通客车,2016-10-27,0.33299999999999996,488.6164
002568.XSHE,百润股份,2016-10-27,0.043,200.5248
600060.XSHG,海信电器,2016-10-27,0.14800000000000002,222.8344
600061.XSHG,国投资本,2016-10-27,0.19699999999999998,592.9113
000425.XSHE,徐工机械,2016-10-27,0.154,231.255
601988.XSHG,中国银行,2016-10-27,0.807,9979.7461
601989.XSHG,中国重工,2016-10-27,0.647,1228.3954
000738.XSHE,航发控制,2016-10-27,0.138,310.9273
600958.XSHG,东方证券,2016-10-27,0.475,994.4723
600068.XSHG,葛洲坝,2016-10-27,0.248,394.6294
000423.XSHE,东阿阿胶,2016-10-27,0.354,382.6026
600660.XSHG,福耀玻璃,2016-10-27,0.26899999999999996,442.2693
601225.XSHG,陕西煤业,2016-10-27,0.129,654.0
601866.XSHG,中远海发,2016-10-27,0.14400000000000002,495.3645
000630.XSHE,铜陵有色,2016-10-27,0.196,262.9177
600998.XSHG,九州通,2016-10-27,0.08,364.816
601390.XSHG,中国中铁,2016-10-27,0.449,1980.601
002152.XSHE,广电运通,2016-10-27,0.13699999999999998,244.5078
601788.XSHG,光大证券,2016-10-27,0.21600000000000005,771.3848
601398.XSHG,工商银行,2016-10-27,1.222,15753.1562
601021.XSHG,春秋航空,2016-10-27,0.12300000000000001,355.04
600153.XSHG,建发股份,2016-10-27,0.214,316.6919
600150.XSHG,中国船舶,2016-10-27,0.16899999999999998,322.7551
600098.XSHG,广州发展,2016-10-27,0.077,229.8184
600718.XSHG,东软集团,2016-10-27,0.195,220.7919
600157.XSHG,永泰能源,2016-10-27,0.16899999999999998,526.8537
300315.XSHE,掌趣科技,2016-10-27,0.20800000000000002,269.0519
000027.XSHE,深圳能源,2016-10-27,0.09,270.7748
600867.XSHG,通化东宝,2016-10-27,0.24600000000000002,339.1311
601901.XSHG,方正证券,2016-10-27,0.34299999999999997,619.054
600863.XSHG,内蒙华电,2016-10-27,0.10099999999999999,186.4286
600100.XSHG,同方股份,2016-10-27,0.278,419.6881
600398.XSHG,海澜之家,2016-10-27,0.16399999999999998,497.7976
600795.XSHG,国电电力,2016-10-27,0.397,595.4071
600011.XSHG,华能国际,2016-10-27,0.336,1088.3475
600010.XSHG,包钢股份,2016-10-27,0.309,927.981
600016.XSHG,民生银行,2016-10-27,2.488,3382.1919
600015.XSHG,华夏银行,2016-10-27,0.61,1111.2996
601318.XSHG,中国平安,2016-10-27,4.205,6250.0146
600019.XSHG,宝钢股份,2016-10-27,0.275,928.7347
600018.XSHG,上港集团,2016-10-27,0.18899999999999997,1200.3962
601258.XSHG,庞大集团,2016-10-27,0.139,186.2343
601991.XSHG,大唐发电,2016-10-27,0.131,527.0775
600074.XSHG,*ST保千,2016-10-27,0.17800000000000002,388.8428
601992.XSHG,金隅集团,2016-10-27,0.12300000000000001,467.6864
000725.XSHE,京东方A,2016-10-27,0.64,875.3114
600372.XSHG,中航电子,2016-10-27,0.114,343.3886
