,display_name,date,weight,market_cap
600259.XSHG,广晟有色,2014-06-03,0.09,85.3696
600315.XSHG,上海家化,2014-06-03,0.32,217.8716
600316.XSHG,洪都航空,2014-06-03,0.14,113.0172
600252.XSHG,中恒集团,2014-06-03,0.22,130.3547
002570.XSHE,*ST因美,2014-06-03,0.17,138.347
600170.XSHG,上海建工,2014-06-03,0.1,162.9082
000826.XSHE,启迪桑德,2014-06-03,0.23,190.573
600256.XSHG,广汇能源,2014-06-03,0.47,375.9426
000709.XSHE,河钢股份,2014-06-03,0.16,192.1968
601231.XSHG,环旭电子,2014-06-03,0.12,288.746
000156.XSHE,华数传媒,2014-06-03,0.04,329.6708
000157.XSHE,中联重科,2014-06-03,0.41,348.3091
002236.XSHE,大华股份,2014-06-03,0.32,309.7403
000623.XSHE,吉林敖东,2014-06-03,0.23,136.5807
002155.XSHE,湖南黄金,2014-06-03,0.11,72.7276
600588.XSHG,用友网络,2014-06-03,0.18,177.6084
000703.XSHE,恒逸石化,2014-06-03,0.04,78.0979
002375.XSHE,亚厦股份,2014-06-03,0.16,153.1254
000629.XSHE,攀钢钒钛,2014-06-03,0.19,179.5257
600893.XSHG,航发动力,2014-06-03,0.25,236.8732
002294.XSHE,信立泰,2014-06-03,0.12,192.2054
601139.XSHG,深圳燃气,2014-06-03,0.06,138.0374
600123.XSHG,兰花科创,2014-06-03,0.11,86.9366
600089.XSHG,特变电工,2014-06-03,0.59,273.8515
600895.XSHG,张江高科,2014-06-03,0.11,100.51
000012.XSHE,南玻A,2014-06-03,0.2,148.179
600085.XSHG,同仁堂,2014-06-03,0.23,219.7461
601238.XSHG,广汽集团,2014-06-03,0.13,468.4695
601369.XSHG,陕鼓动力,2014-06-03,0.08,93.0821
000792.XSHE,盐湖股份,2014-06-03,0.21,248.4375
000793.XSHE,华闻传媒,2014-06-03,0.29,222.1054
600340.XSHG,华夏幸福,2014-06-03,0.29,349.3725
600000.XSHG,浦发银行,2014-06-03,2.22,1779.5413
600648.XSHG,外高桥,2014-06-03,0.11,313.3564
600649.XSHG,城投控股,2014-06-03,0.2,195.6828
600415.XSHG,小商品城,2014-06-03,0.15,140.7071
601633.XSHG,长城汽车,2014-06-03,0.24,854.0081
600008.XSHG,首创股份,2014-06-03,0.14,133.98
600009.XSHG,上海机场,2014-06-03,0.27,254.3585
600066.XSHG,宇通客车,2014-06-03,0.29,198.3166
002051.XSHE,中工国际,2014-06-03,0.08,124.7267
600062.XSHG,华润双鹤,2014-06-03,0.12,97.3027
600060.XSHG,海信电器,2014-06-03,0.17,136.998
000937.XSHE,冀中能源,2014-06-03,0.08,136.4602
601988.XSHG,中国银行,2014-06-03,0.35,7598.7158
601989.XSHG,中国重工,2014-06-03,0.48,776.6315
601555.XSHG,东吴证券,2014-06-03,0.18,142.8
000933.XSHE,神火股份,2014-06-03,0.09,69.3683
600068.XSHG,葛洲坝,2014-06-03,0.18,175.442
000423.XSHE,东阿阿胶,2014-06-03,0.34,203.9893
601866.XSHG,中远海发,2014-06-03,0.1,247.6823
000630.XSHE,铜陵有色,2014-06-03,0.14,132.0673
601390.XSHG,中国中铁,2014-06-03,0.27,545.2774
600718.XSHG,东软集团,2014-06-03,0.23,154.1858
601398.XSHG,工商银行,2014-06-03,1.2,12579.752
600153.XSHG,建发股份,2014-06-03,0.2,155.936
600150.XSHG,中国船舶,2014-06-03,0.22,270.111
600663.XSHG,陆家嘴,2014-06-03,0.14,310.2223
000024.XSHE,招商地产,2014-06-03,0.25,298.6386
600157.XSHG,永泰能源,2014-06-03,0.1,82.3683
601098.XSHG,中南传媒,2014-06-03,0.15,236.174
601901.XSHG,方正证券,2014-06-03,0.43,340.38
600096.XSHG,云天化,2014-06-03,0.07,79.7129
600100.XSHG,同方股份,2014-06-03,0.27,189.0179
600795.XSHG,国电电力,2014-06-03,0.41,392.8421
600011.XSHG,华能国际,2014-06-03,0.48,784.2904
600010.XSHG,包钢股份,2014-06-03,0.25,295.2956
600016.XSHG,民生银行,2014-06-03,3.49,2110.4514
600015.XSHG,华夏银行,2014-06-03,0.76,730.1808
