,display_name,date,weight,market_cap
002044.XSHE,美年健康,2018-07-17,0.264,741.06
000413.XSHE,东旭光电,2018-07-17,0.218,355.8485
000415.XSHE,渤海租赁,2018-07-17,0.10099999999999999,325.3058
600999.XSHG,招商证券,2018-07-17,0.293,869.5833
000826.XSHE,启迪桑德,2018-07-17,0.11699999999999999,241.3386
002294.XSHE,信立泰,2018-07-17,0.146,382.1096
000709.XSHE,河钢股份,2018-07-17,0.11699999999999999,296.2592
000627.XSHE,天茂集团,2018-07-17,0.09699999999999999,327.0697
000625.XSHE,长安汽车,2018-07-17,0.16399999999999998,381.8106
002236.XSHE,大华股份,2018-07-17,0.3670000000000001,558.8802
000623.XSHE,吉林敖东,2018-07-17,0.157,201.2755
002450.XSHE,ST康得新,2018-07-17,0.33899999999999997,604.7858
600816.XSHG,安信信托,2018-07-17,0.14800000000000002,347.8372
600498.XSHG,烽火通信,2018-07-17,0.13,300.4293
600893.XSHG,航发动力,2018-07-17,0.188,536.5879
601877.XSHG,正泰电器,2018-07-17,0.18,501.9283
600089.XSHG,特变电工,2018-07-17,0.24100000000000002,247.0144
002415.XSHE,海康威视,2018-07-17,1.2830000000000001,3328.2766
600085.XSHG,同仁堂,2018-07-17,0.18100000000000002,490.3006
601229.XSHG,上海银行,2018-07-17,0.5760000000000001,1156.1929
601238.XSHG,广汽集团,2018-07-17,0.067,1047.9285
601878.XSHG,浙商证券,2018-07-17,0.028999999999999998,256.3333
000792.XSHE,盐湖股份,2018-07-17,0.141,277.216
300024.XSHE,机器人,2018-07-17,0.17800000000000002,270.5455
300027.XSHE,华谊兄弟,2018-07-17,0.096,178.9556
600436.XSHG,片仔癀,2018-07-17,0.316,766.5145
600000.XSHG,浦发银行,2018-07-17,1.05,2770.8364
000959.XSHE,首钢股份,2018-07-17,0.061,208.402
002081.XSHE,金螳螂,2018-07-17,0.15,268.2958
300124.XSHE,汇川技术,2018-07-17,0.307,502.9106
600415.XSHG,小商品城,2018-07-17,0.11,230.7923
601318.XSHG,中国平安,2018-07-17,5.939,10606.1963
600008.XSHG,首创股份,2018-07-17,0.095,200.0555
600009.XSHG,上海机场,2018-07-17,0.5,1200.1097
300144.XSHE,宋城演艺,2018-07-17,0.16,390.461
600066.XSHG,宇通客车,2018-07-17,0.239,400.723
600025.XSHG,华能水电,2018-07-17,0.051,516.6
002050.XSHE,三花智控,2018-07-17,0.15,343.0673
000938.XSHE,紫光股份,2018-07-17,0.085,655.3377
600061.XSHG,国投资本,2018-07-17,0.073,378.7508
000425.XSHE,徐工机械,2018-07-17,0.16699999999999998,274.7029
601988.XSHG,中国银行,2018-07-17,0.7120000000000001,10244.6953
