,display_name,date,weight,market_cap
600259.XSHG,广晟有色,2013-09-09,0.12,118.4899
600315.XSHG,上海家化,2013-09-09,0.54,363.59
600316.XSHG,洪都航空,2013-09-09,0.15,143.638
600252.XSHG,中恒集团,2013-09-09,0.28,161.3603
002570.XSHE,*ST因美,2013-09-09,0.27,239.6531
600170.XSHG,上海建工,2013-09-09,0.12,185.9429
600256.XSHG,广汇能源,2013-09-09,0.6,534.0648
000709.XSHE,河钢股份,2013-09-09,0.17,212.3722
000156.XSHE,华数传媒,2013-09-09,0.04,309.9098
000157.XSHE,中联重科,2013-09-09,0.48,442.3218
002236.XSHE,大华股份,2013-09-09,0.41,503.2671
000623.XSHE,吉林敖东,2013-09-09,0.25,158.405
002155.XSHE,湖南黄金,2013-09-09,0.14,96.9369
600588.XSHG,用友网络,2013-09-09,0.13,126.2368
000703.XSHE,恒逸石化,2013-09-09,0.06,102.4386
002375.XSHE,亚厦股份,2013-09-09,0.18,188.0895
000629.XSHE,攀钢钒钛,2013-09-09,0.21,212.1667
600893.XSHG,航发动力,2013-09-09,0.19,201.4621
002294.XSHE,信立泰,2013-09-09,0.13,218.1597
600125.XSHG,铁龙物流,2013-09-09,0.12,83.2923
600123.XSHG,兰花科创,2013-09-09,0.19,158.4509
600089.XSHG,特变电工,2013-09-09,0.48,258.2849
600895.XSHG,张江高科,2013-09-09,0.13,129.0058
000012.XSHE,南玻A,2013-09-09,0.23,189.2706
600085.XSHG,同仁堂,2013-09-09,0.29,284.5091
601238.XSHG,广汽集团,2013-09-09,0.14,584.9433
601369.XSHG,陕鼓动力,2013-09-09,0.07,123.2355
000792.XSHE,盐湖股份,2013-09-09,0.23,293.4489
600005.XSHG,武钢股份,2013-09-09,0.19,245.2788
600340.XSHG,华夏幸福,2013-09-09,0.27,325.693
600000.XSHG,浦发银行,2013-09-09,2.07,1964.2104
600550.XSHG,保变电气,2013-09-09,0.09,85.8119
600649.XSHG,城投控股,2013-09-09,0.23,222.5705
601117.XSHG,中国化学,2013-09-09,0.33,401.0529
600415.XSHG,小商品城,2013-09-09,0.16,157.3089
601633.XSHG,长城汽车,2013-09-09,0.37,1448.1934
600642.XSHG,申能股份,2013-09-09,0.22,205.2969
600009.XSHG,上海机场,2013-09-09,0.32,307.7353
002092.XSHE,中泰化学,2013-09-09,0.11,66.7209
600066.XSHG,宇通客车,2013-09-09,0.32,243.406
002051.XSHE,中工国际,2013-09-09,0.1,167.2657
600062.XSHG,华润双鹤,2013-09-09,0.15,118.9699
600060.XSHG,海信电器,2013-09-09,0.18,147.3896
000937.XSHE,冀中能源,2013-09-09,0.13,220.6492
601988.XSHG,中国银行,2013-09-09,0.35,7955.7046
600432.XSHG,退市吉恩,2013-09-09,0.08,75.4343
601555.XSHG,东吴证券,2013-09-09,0.19,161.0
000933.XSHE,神火股份,2013-09-09,0.11,112.5096
000422.XSHE,*ST宜化,2013-09-09,0.13,64.377
000423.XSHE,东阿阿胶,2013-09-09,0.43,256.7035
601101.XSHG,昊华能源,2013-09-09,0.08,106.5598
000630.XSHE,铜陵有色,2013-09-09,0.17,169.882
601390.XSHG,中国中铁,2013-09-09,0.28,598.5272
600718.XSHG,东软集团,2013-09-09,0.2,149.2755
601398.XSHG,工商银行,2013-09-09,1.25,14265.6738
600153.XSHG,建发股份,2013-09-09,0.22,167.8313
600150.XSHG,中国船舶,2013-09-09,0.2,261.7045
601866.XSHG,中远海发,2013-09-09,0.12,318.9493
000024.XSHE,招商地产,2013-09-09,0.4,484.2787
600157.XSHG,永泰能源,2013-09-09,0.15,121.6081
000027.XSHE,深圳能源,2013-09-09,0.09,146.4219
601098.XSHG,中南传媒,2013-09-09,0.12,225.7572
601901.XSHG,方正证券,2013-09-09,0.37,360.51
600096.XSHG,云天化,2013-09-09,0.09,152.5163
600100.XSHG,同方股份,2013-09-09,0.3,193.6334
000780.XSHE,平庄能源,2013-09-09,0.05,58.424
600011.XSHG,华能国际,2013-09-09,0.47,766.0184
600010.XSHG,包钢股份,2013-09-09,0.26,318.5031
600016.XSHG,民生银行,2013-09-09,4.19,2893.2898
600015.XSHG,华夏银行,2013-09-09,0.64,691.0003
601318.XSHG,中国平安,2013-09-09,2.4,2977.261
600655.XSHG,豫园股份,2013-09-09,0.2,120.5913
600019.XSHG,宝钢股份,2013-09-09,0.44,760.9937
600549.XSHG,厦门钨业,2013-09-09,0.21,202.7527
600395.XSHG,盘江股份,2013-09-09,0.09,158.0575
601258.XSHG,庞大集团,2013-09-09,0.09,140.5124
002603.XSHE,以岭药业,2013-09-09,0.07,174.55900000000003
601991.XSHG,大唐发电,2013-09-09,0.28,622.9098
600369.XSHG,西南证券,2013-09-09,0.23,235.7393
601992.XSHG,金隅集团,2013-09-09,0.13,242.4595
002378.XSHE,章源钨业,2013-09-09,0.03,87.9551
000725.XSHE,京东方A,2013-09-09,0.32,286.6567
600372.XSHG,中航电子,2013-09-09,0.13,356.2305
601998.XSHG,中信银行,2013-09-09,0.2,1918.2804
000538.XSHE,云南白药,2013-09-09,0.73,734.1868
000728.XSHE,国元证券,2013-09-09,0.18,183.8398
600376.XSHG,首开股份,2013-09-09,0.13,129.3641
000686.XSHE,东北证券,2013-09-09,0.11,160.194
600863.XSHG,内蒙华电,2013-09-09,0.13,126.996
000338.XSHE,潍柴动力,2013-09-09,0.36,396.4631
002024.XSHE,苏宁易购,2013-09-09,0.73,597.2882
601888.XSHG,中国国旅,2013-09-09,0.22,371.3608
600547.XSHG,山东黄金,2013-09-09,0.36,347.6566
601628.XSHG,中国人寿,2013-09-09,0.43,4132.2998
600811.XSHG,东方集团,2013-09-09,0.16,94.6745
002106.XSHE,莱宝高科,2013-09-09,0.13,111.166
002299.XSHE,圣农发展,2013-09-09,0.1,97.7396
601918.XSHG,新集能源,2013-09-09,0.1,129.009
600143.XSHG,金发科技,2013-09-09,0.17,143.8382
600383.XSHG,金地集团,2013-09-09,0.59,294.6724
600900.XSHG,长江电力,2013-09-09,0.68,1125.3
000039.XSHE,中集集团,2013-09-09,0.22,367.9431
600795.XSHG,国电电力,2013-09-09,0.41,410.0715
600703.XSHG,三安光电,2013-09-09,0.29,279.7055
600999.XSHG,招商证券,2013-09-09,0.54,551.8742
000783.XSHE,长江证券,2013-09-09,0.29,210.5656
600873.XSHG,梅花生物,2013-09-09,0.06,147.9516
002450.XSHE,ST康得新,2013-09-09,0.3,249.8412
600783.XSHG,鲁信创投,2013-09-09,0.08,124.0847
600266.XSHG,北京城建,2013-09-09,0.1,96.9228
600267.XSHG,海正药业,2013-09-09,0.16,134.5214
601717.XSHG,郑煤机,2013-09-09,0.12,113.6407
601158.XSHG,重庆水务,2013-09-09,0.12,281.28
600660.XSHG,福耀玻璃,2013-09-09,0.22,156.8338
600498.XSHG,烽火通信,2013-09-09,0.18,180.6861
600664.XSHG,哈药股份,2013-09-09,0.12,119.2675
601099.XSHG,太平洋,2013-09-09,0.1,85.4934
000839.XSHE,中信国安,2013-09-09,0.13,110.8527
000625.XSHE,长安汽车,2013-09-09,0.4,511.9849
002344.XSHE,海宁皮城,2013-09-09,0.15,187.376
600352.XSHG,浙江龙盛,2013-09-09,0.26,174.6006
000527.XSHE,美的电器,2013-09-09,0.58,474.4855
600048.XSHG,保利地产,2013-09-09,0.92,770.1896
