,display_name,date,weight,market_cap
000413.XSHE,东旭光电,2015-01-28,0.15,224.6796
600315.XSHG,上海家化,2015-01-28,0.22,260.4076
600316.XSHG,洪都航空,2015-01-28,0.14,217.6443
002416.XSHE,爱施德,2015-01-28,0.03,121.5518
600252.XSHG,中恒集团,2015-01-28,0.18,191.5942
002570.XSHE,*ST因美,2015-01-28,0.12,167.59099999999995
000825.XSHE,太钢不锈,2015-01-28,0.14,275.6984
000826.XSHE,启迪桑德,2015-01-28,0.16,243.8052
600256.XSHG,广汇能源,2015-01-28,0.31,447.4761
000709.XSHE,河钢股份,2015-01-28,0.19,365.2801
000559.XSHE,万向钱潮,2015-01-28,0.13,243.0046
000156.XSHE,华数传媒,2015-01-28,0.02,328.7534
000157.XSHE,中联重科,2015-01-28,0.37,479.3103
000623.XSHE,吉林敖东,2015-01-28,0.3,288.5458
002500.XSHE,山西证券,2015-01-28,0.19,354.8884
002375.XSHE,亚厦股份,2015-01-28,0.08,197.9555
000629.XSHE,攀钢钒钛,2015-01-28,0.18,277.4488
600893.XSHG,航发动力,2015-01-28,0.2,612.0926
600783.XSHG,鲁信创投,2015-01-28,0.07,230.7514
600089.XSHG,特变电工,2015-01-28,0.38,417.9772
002415.XSHE,海康威视,2015-01-28,0.32,1139.7628
603699.XSHG,纽威股份,2015-01-28,0.03,152.025
600085.XSHG,同仁堂,2015-01-28,0.17,305.1234
000792.XSHE,盐湖股份,2015-01-28,0.16,372.1792
000793.XSHE,华闻传媒,2015-01-28,0.16,253.3864
300027.XSHE,华谊兄弟,2015-01-28,0.27,361.7276
600340.XSHG,华夏幸福,2015-01-28,0.27,616.7265
600000.XSHG,浦发银行,2015-01-28,2.09,2762.5791
600648.XSHG,外高桥,2015-01-28,0.11,358.2026
600649.XSHG,城投控股,2015-01-28,0.13,215.998
300124.XSHE,汇川技术,2015-01-28,0.16,268.8679
600415.XSHG,小商品城,2015-01-28,0.21,382.658
601633.XSHG,长城汽车,2015-01-28,0.2,1376.3922
600008.XSHG,首创股份,2015-01-28,0.15,290.442
600009.XSHG,上海机场,2015-01-28,0.22,407.359
600066.XSHG,宇通客车,2015-01-28,0.24,391.49300000000005
002051.XSHE,中工国际,2015-01-28,0.1,208.9095
600060.XSHG,海信电器,2015-01-28,0.11,171.41099999999997
000937.XSHE,冀中能源,2015-01-28,0.08,213.6437
601988.XSHG,中国银行,2015-01-28,0.33,13137.2676
601989.XSHG,中国重工,2015-01-28,0.8,1683.7646
601555.XSHG,东吴证券,2015-01-28,0.36,490.05
600068.XSHG,葛洲坝,2015-01-28,0.26,410.7461
000423.XSHE,东阿阿胶,2015-01-28,0.23,258.0769
600660.XSHG,福耀玻璃,2015-01-28,0.2,277.2133
601225.XSHG,陕西煤业,2015-01-28,0.04,607.0
601866.XSHG,中远海发,2015-01-28,0.19,522.2357
000630.XSHE,铜陵有色,2015-01-28,0.14,277.6411
600998.XSHG,九州通,2015-01-28,0.07,311.0341
601390.XSHG,中国中铁,2015-01-28,0.76,1827.5314
002400.XSHE,省广集团,2015-01-28,0.12,159.4457
600718.XSHG,东软集团,2015-01-28,0.16,242.2043
600023.XSHG,浙能电力,2015-01-28,0.07,788.3484
601398.XSHG,工商银行,2015-01-28,1.0,16578.8789
600153.XSHG,建发股份,2015-01-28,0.21,285.7882
600150.XSHG,中国船舶,2015-01-28,0.3,529.1972
600663.XSHG,陆家嘴,2015-01-28,0.18,677.409
000024.XSHE,招商地产,2015-01-28,0.32,644.2453
600157.XSHG,永泰能源,2015-01-28,0.11,161.9085
000027.XSHE,深圳能源,2015-01-28,0.11,287.8221
600867.XSHG,通化东宝,2015-01-28,0.13,178.6194
601901.XSHG,方正证券,2015-01-28,0.69,1047.1233
600863.XSHG,内蒙华电,2015-01-28,0.16,238.1175
600100.XSHG,同方股份,2015-01-28,0.24,305.9452
600398.XSHG,海澜之家,2015-01-28,0.11,543.1744
600795.XSHG,国电电力,2015-01-28,0.52,751.0328
600011.XSHG,华能国际,2015-01-28,0.44,1182.4714
600010.XSHG,包钢股份,2015-01-28,0.39,813.0632
600016.XSHG,民生银行,2015-01-28,3.5,3394.8184
600015.XSHG,华夏银行,2015-01-28,0.71,1107.7377
601318.XSHG,中国平安,2015-01-28,4.25,6607.3931
600655.XSHG,豫园股份,2015-01-28,0.14,200.219
600019.XSHG,宝钢股份,2015-01-28,0.41,993.2029
600018.XSHG,上港集团,2015-01-28,0.35,1517.7705
600549.XSHG,厦门钨业,2015-01-28,0.13,276.2174
600395.XSHG,盘江股份,2015-01-28,0.07,188.1794
601258.XSHG,庞大集团,2015-01-28,0.09,210.2797
002603.XSHE,以岭药业,2015-01-28,0.08,176.6228
601766.XSHG,中国中车,2015-01-28,0.36,1866.1656
600369.XSHG,西南证券,2015-01-28,0.3,519.9146
601992.XSHG,金隅集团,2015-01-28,0.13,464.5886
000536.XSHE,华映科技,2015-01-28,0.06,133.6161
000725.XSHE,京东方A,2015-01-28,0.41,1115.1525
600372.XSHG,中航电子,2015-01-28,0.17,505.2316
600373.XSHG,中文传媒,2015-01-28,0.08,196.4959
000538.XSHE,云南白药,2015-01-28,0.39,669.5159
000728.XSHE,国元证券,2015-01-28,0.36,648.153
600079.XSHG,人福医药,2015-01-28,0.16,158.6332
