,display_name,date,weight,market_cap
600259.XSHG,广晟有色,2012-07-12,0.17,174.9292
600316.XSHG,洪都航空,2012-07-12,0.12,87.488
002122.XSHE,*ST天马,2012-07-12,0.08,76.2696
600252.XSHG,中恒集团,2012-07-12,0.2,141.4905
000825.XSHE,太钢不锈,2012-07-12,0.17,199.3687
600256.XSHG,广汇能源,2012-07-12,0.6,507.7821
000709.XSHE,河钢股份,2012-07-12,0.3,277.1457
000559.XSHE,万向钱潮,2012-07-12,0.08,74.5647
000157.XSHE,中联重科,2012-07-12,0.93,782.1543
000623.XSHE,吉林敖东,2012-07-12,0.26,154.8273
002378.XSHE,章源钨业,2012-07-12,0.06,136.3004
600588.XSHG,用友网络,2012-07-12,0.16,144.2191
600812.XSHG,华北制药,2012-07-12,0.11,58.0118
600811.XSHG,东方集团,2012-07-12,0.15,93.8411
000629.XSHE,攀钢钒钛,2012-07-12,0.4,372.795
600893.XSHG,航发动力,2012-07-12,0.15,144.9132
600125.XSHG,铁龙物流,2012-07-12,0.16,102.2224
600123.XSHG,兰花科创,2012-07-12,0.26,225.3955
600089.XSHG,特变电工,2012-07-12,0.38,166.3038
600895.XSHG,张江高科,2012-07-12,0.14,123.7403
000012.XSHE,南玻A,2012-07-12,0.25,186.7802
600085.XSHG,同仁堂,2012-07-12,0.24,243.8769
002415.XSHE,海康威视,2012-07-12,0.23,560.0
000792.XSHE,盐湖股份,2012-07-12,0.45,555.0877
600005.XSHG,武钢股份,2012-07-12,0.23,263.4477
601369.XSHG,陕鼓动力,2012-07-12,0.1,143.7201
600000.XSHG,浦发银行,2012-07-12,1.91,1430.7213
600550.XSHG,保变电气,2012-07-12,0.13,116.7042
600418.XSHG,江淮汽车,2012-07-12,0.1,62.3749
601117.XSHG,中国化学,2012-07-12,0.24,264.4088
600415.XSHG,小商品城,2012-07-12,0.22,202.2154
601101.XSHG,昊华能源,2012-07-12,0.14,175.3197
600008.XSHG,首创股份,2012-07-12,0.11,102.52
600009.XSHG,上海机场,2012-07-12,0.26,242.4114
002092.XSHE,中泰化学,2012-07-12,0.15,90.6157
600066.XSHG,宇通客车,2012-07-12,0.22,158.0408
601558.XSHG,ST锐电,2012-07-12,0.12,265.7484
600062.XSHG,华润双鹤,2012-07-12,0.14,103.2483
600309.XSHG,万华化学,2012-07-12,0.3,291.0503
600153.XSHG,建发股份,2012-07-12,0.2,152.8384
600307.XSHG,酒钢宏兴,2012-07-12,0.06,138.697
000425.XSHE,徐工机械,2012-07-12,0.25,275.7908
601988.XSHG,中国银行,2012-07-12,0.41,7704.4668
600432.XSHG,退市吉恩,2012-07-12,0.11,108.2847
000933.XSHE,神火股份,2012-07-12,0.19,154.056
000422.XSHE,*ST宜化,2012-07-12,0.19,110.0785
000423.XSHE,东阿阿胶,2012-07-12,0.44,260.8892
600151.XSHG,航天机电,2012-07-12,0.07,64.821
000630.XSHE,铜陵有色,2012-07-12,0.29,280.1987
601718.XSHG,际华集团,2012-07-12,0.08,119.1813
601390.XSHG,中国中铁,2012-07-12,0.28,549.5374
601377.XSHG,兴业证券,2012-07-12,0.1,220.22
600718.XSHG,东软集团,2012-07-12,0.13,103.3634
601398.XSHG,工商银行,2012-07-12,1.29,13099.5459
000021.XSHE,深科技,2012-07-12,0.07,67.8109
600150.XSHG,中国船舶,2012-07-12,0.27,314.2108
600098.XSHG,广州发展,2012-07-12,0.09,188.6649
000024.XSHE,招商地产,2012-07-12,0.36,443.407
002603.XSHE,以岭药业,2012-07-12,0.06,139.6167
000027.XSHE,深圳能源,2012-07-12,0.11,171.7946
601098.XSHG,中南传媒,2012-07-12,0.11,182.6532
600096.XSHG,云天化,2012-07-12,0.08,94.9586
600100.XSHG,同方股份,2012-07-12,0.28,162.3952
000780.XSHE,平庄能源,2012-07-12,0.09,107.9222
000783.XSHE,长江证券,2012-07-12,0.32,202.9776
600010.XSHG,包钢股份,2012-07-12,0.26,328.2482
600016.XSHG,民生银行,2012-07-12,2.85,1670.733
600015.XSHG,华夏银行,2012-07-12,0.68,602.7759
601318.XSHG,中国平安,2012-07-12,3.22,3563.0557
600655.XSHG,豫园股份,2012-07-12,0.19,104.0621
600019.XSHG,宝钢股份,2012-07-12,0.48,728.5012
600549.XSHG,厦门钨业,2012-07-12,0.25,304.9133
600395.XSHG,盘江股份,2012-07-12,0.19,331.3414
601258.XSHG,庞大集团,2012-07-12,0.07,152.047
601991.XSHG,大唐发电,2012-07-12,0.24,700.1080000000002
600369.XSHG,西南证券,2012-07-12,0.22,239.4554
601992.XSHG,金隅集团,2012-07-12,0.09,261.308
600795.XSHG,国电电力,2012-07-12,0.44,412.583
000680.XSHE,山推股份,2012-07-12,0.11,61.2646
601998.XSHG,中信银行,2012-07-12,0.23,1834.0632
000538.XSHE,云南白药,2012-07-12,0.35,426.9739
000728.XSHE,国元证券,2012-07-12,0.23,211.1407
600376.XSHG,首开股份,2012-07-12,0.21,201.4822
000686.XSHE,东北证券,2012-07-12,0.09,100.1803
600863.XSHG,内蒙华电,2012-07-12,0.13,200.8189
000338.XSHE,潍柴动力,2012-07-12,0.47,460.341
002024.XSHE,苏宁易购,2012-07-12,0.74,599.5031
601888.XSHG,中国国旅,2012-07-12,0.16,268.928
601628.XSHG,中国人寿,2012-07-12,0.58,5209.1851
601939.XSHG,建设银行,2012-07-12,0.85,10025.4404
002106.XSHE,莱宝高科,2012-07-12,0.18,110.1127
002007.XSHE,华兰生物,2012-07-12,0.15,149.1218
601918.XSHG,新集能源,2012-07-12,0.14,250.5424
600143.XSHG,金发科技,2012-07-12,0.23,144.892
601866.XSHG,中远海发,2012-07-12,0.13,304.9296
600383.XSHG,金地集团,2012-07-12,0.61,308.0869
600900.XSHG,长江电力,2012-07-12,0.71,1105.5
000039.XSHE,中集集团,2012-07-12,0.24,349.3064
600380.XSHG,健康元,2012-07-12,0.06,72.1905
600703.XSHG,三安光电,2012-07-12,0.17,191.3318
600999.XSHG,招商证券,2012-07-12,0.57,518.3143
600547.XSHG,山东黄金,2012-07-12,0.49,458.6562
600873.XSHG,梅花生物,2012-07-12,0.08,175.4937
600783.XSHG,鲁信创投,2012-07-12,0.07,110.8351
600266.XSHG,北京城建,2012-07-12,0.14,127.867
600267.XSHG,海正药业,2012-07-12,0.15,134.9412
601717.XSHG,郑煤机,2012-07-12,0.17,165.76
601158.XSHG,重庆水务,2012-07-12,0.12,276.48
600660.XSHG,福耀玻璃,2012-07-12,0.26,150.4243
600498.XSHG,烽火通信,2012-07-12,0.12,121.8927
600664.XSHG,哈药股份,2012-07-12,0.13,129.6219
601099.XSHG,太平洋,2012-07-12,0.07,102.526
000839.XSHE,中信国安,2012-07-12,0.13,111.3231
000625.XSHE,长安汽车,2012-07-12,0.19,237.3409
002344.XSHE,海宁皮城,2012-07-12,0.09,151.76
600352.XSHG,浙江龙盛,2012-07-12,0.12,82.8187
000527.XSHE,美的电器,2012-07-12,0.47,342.496
600048.XSHG,保利地产,2012-07-12,1.02,917.9461
000528.XSHE,柳工,2012-07-12,0.18,128.6152
600362.XSHG,江西铜业,2012-07-12,0.42,816.5116
600600.XSHG,青岛啤酒,2012-07-12,0.28,525.8025
600208.XSHG,新湖中宝,2012-07-12,0.16,242.83900000000003
000999.XSHE,华润三九,2012-07-12,0.18,210.4635
