,display_name,date,weight,market_cap
600999.XSHG,招商证券,2017-02-21,0.406,1148.9509
002292.XSHE,奥飞娱乐,2017-02-21,0.11900000000000001,286.4278
600871.XSHG,石化油服,2017-02-21,0.07400000000000001,551.5638
600547.XSHG,山东黄金,2017-02-21,0.29100000000000004,691.2196
600705.XSHG,中航资本,2017-02-21,0.29600000000000004,584.3588
600704.XSHG,物产中大,2017-02-21,0.131,317.2589
600570.XSHG,恒生电子,2017-02-21,0.23199999999999998,277.0238
002153.XSHE,石基信息,2017-02-21,0.076,254.3224
002797.XSHE,第一创业,2017-02-21,0.07,679.4656
002415.XSHE,海康威视,2017-02-21,0.507,1763.4172
002195.XSHE,二三四五,2017-02-21,0.10099999999999999,200.6055
600660.XSHG,福耀玻璃,2017-02-21,0.27899999999999997,473.3761
000333.XSHE,美的集团,2017-02-21,1.425,2097.2505
600663.XSHG,陆家嘴,2017-02-21,0.172,789.0218
601099.XSHG,太平洋,2017-02-21,0.364,365.3546
000839.XSHE,中信国安,2017-02-21,0.249,386.1029
300015.XSHE,爱尔眼科,2017-02-21,0.131,316.0182
000625.XSHE,长安汽车,2017-02-21,0.326,782.3514
002475.XSHE,立讯精密,2017-02-21,0.183,458.3567
600688.XSHG,上海石化,2017-02-21,0.158,738.72
600352.XSHG,浙江龙盛,2017-02-21,0.23399999999999999,326.3092
601877.XSHG,正泰电器,2017-02-21,0.079,374.1272
600048.XSHG,保利地产,2017-02-21,0.695,1151.4546
600362.XSHG,江西铜业,2017-02-21,0.183,696.0086
600208.XSHG,新湖中宝,2017-02-21,0.162,392.99
000917.XSHE,电广传媒,2017-02-21,0.162,197.8909
601127.XSHG,小康股份,2017-02-21,0.049,228.0337
000750.XSHE,国海证券,2017-02-21,0.203,291.7155
603885.XSHG,吉祥航空,2017-02-21,0.065,308.0595
600685.XSHG,中船防务,2017-02-21,0.113,490.7694
600369.XSHG,西南证券,2017-02-21,0.20800000000000002,397.9802
002500.XSHE,山西证券,2017-02-21,0.132,333.7896
002470.XSHE,金正大,2017-02-21,0.124,246.5505
600446.XSHG,金证股份,2017-02-21,0.12300000000000001,194.8077
600674.XSHG,川投能源,2017-02-21,0.20600000000000002,394.4318
603993.XSHG,洛阳钼业,2017-02-21,0.17,844.3599
601225.XSHG,陕西煤业,2017-02-21,0.11199999999999999,579.0
601216.XSHG,君正集团,2017-02-21,0.121,395.74300000000005
600177.XSHG,雅戈尔,2017-02-21,0.23,364.796
600170.XSHG,上海建工,2017-02-21,0.187,360.872
601006.XSHG,大秦铁路,2017-02-21,0.45,1052.5688
002424.XSHE,贵州百灵,2017-02-21,0.08,258.5318
601169.XSHG,北京银行,2017-02-21,1.301,1546.5189
600271.XSHG,航天信息,2017-02-21,0.243,384.1199
600276.XSHG,恒瑞医药,2017-02-21,0.7140000000000001,1170.2086
300072.XSHE,三聚环保,2017-02-21,0.297,579.864
300070.XSHE,碧水源,2017-02-21,0.309,506.43300000000005
601088.XSHG,中国神华,2017-02-21,0.361,3438.9153
601166.XSHG,兴业银行,2017-02-21,2.4130000000000003,3223.6555
600196.XSHG,复星医药,2017-02-21,0.266,627.5317
002673.XSHE,西部证券,2017-02-21,0.27699999999999997,559.3935
600690.XSHG,青岛海尔,2017-02-21,0.327,649.3977
002129.XSHE,中环股份,2017-02-21,0.11599999999999999,218.6784
002230.XSHE,科大讯飞,2017-02-21,0.262,402.4069
601186.XSHG,中国铁建,2017-02-21,0.599,1770.7722
002085.XSHE,万丰奥威,2017-02-21,0.182,332.0412
600050.XSHG,中国联通,2017-02-21,0.588,1396.8557
601933.XSHG,永辉超市,2017-02-21,0.207,551.2586
600804.XSHG,鹏博士,2017-02-21,0.275,294.8319
002202.XSHE,金风科技,2017-02-21,0.27699999999999997,470.2395
002007.XSHE,华兰生物,2017-02-21,0.203,330.4602
002008.XSHE,大族激光,2017-02-21,0.203,254.6018
001979.XSHE,招商蛇口,2017-02-21,0.418,1372.9409
601939.XSHG,建设银行,2017-02-21,0.409,14850.6523
000983.XSHE,西山煤电,2017-02-21,0.149,304.4059
600666.XSHG,奥瑞德,2017-02-21,0.14,216.5464
002736.XSHE,国信证券,2017-02-21,0.395,1279.2
600606.XSHG,绿地控股,2017-02-21,0.222,1076.8817
000793.XSHE,华闻传媒,2017-02-21,0.22899999999999998,221.7085
601928.XSHG,凤凰传媒,2017-02-21,0.084,271.7953
300182.XSHE,捷成股份,2017-02-21,0.109,257.3842
300104.XSHE,乐视网,2017-02-21,0.461,719.1517
002739.XSHE,万达电影,2017-02-21,0.289,638.9339
000671.XSHE,阳光城,2017-02-21,0.09699999999999999,236.5243
600518.XSHG,康美药业,2017-02-21,0.5660000000000001,870.2166
600519.XSHG,贵州茅台,2017-02-21,1.834,4506.4839
601998.XSHG,中信银行,2017-02-21,0.22699999999999998,3459.6902
000858.XSHE,五粮液,2017-02-21,0.7440000000000001,1551.0320000000004
600221.XSHG,海航控股,2017-02-21,0.233,578.1305
600028.XSHG,中国石化,2017-02-21,0.672,7131.0942
600029.XSHG,南方航空,2017-02-21,0.272,758.8979
000503.XSHE,国新健康,2017-02-21,0.341,394.8526
002310.XSHE,东方园林,2017-02-21,0.156,399.4622
600021.XSHG,上海电力,2017-02-21,0.115,283.3015
600188.XSHG,兖州煤业,2017-02-21,0.044000000000000004,551.1282
601688.XSHG,华泰证券,2017-02-21,0.639,1350.8982
601377.XSHG,兴业证券,2017-02-21,0.389,544.4394
600583.XSHG,海油工程,2017-02-21,0.18600000000000005,351.9398
600582.XSHG,天地科技,2017-02-21,0.092,224.3115
000060.XSHE,中金岭南,2017-02-21,0.19699999999999998,270.8257
600037.XSHG,歌华有线,2017-02-21,0.111,215.5864
000776.XSHE,广发证券,2017-02-21,0.5489999999999999,1384.7516
000063.XSHE,中兴通讯,2017-02-21,0.382,657.5785
000778.XSHE,新兴铸管,2017-02-21,0.11699999999999999,211.6762
600588.XSHG,用友网络,2017-02-21,0.14800000000000002,277.1907
000069.XSHE,华侨城A,2017-02-21,0.242,608.0409999999998
002241.XSHE,歌尔股份,2017-02-21,0.26899999999999996,459.4728
601669.XSHG,中国电建,2017-02-21,0.317,1063.2332
601668.XSHG,中国建筑,2017-02-21,1.421,2718.0
300002.XSHE,神州泰岳,2017-02-21,0.134,185.1271
601628.XSHG,中国人寿,2017-02-21,0.45399999999999996,7543.8496
300146.XSHE,汤臣倍健,2017-02-21,0.087,169.9692
601985.XSHG,中国核电,2017-02-21,0.349,1151.8418
300058.XSHE,蓝色光标,2017-02-21,0.142,211.8641
300059.XSHE,东方财富,2017-02-21,0.36,601.7121
000100.XSHE,TCL集团,2017-02-21,0.27,455.5703
600118.XSHG,中国卫星,2017-02-21,0.207,396.4886
600297.XSHG,广汇汽车,2017-02-21,0.16,531.3387
600115.XSHG,东方航空,2017-02-21,0.215,1018.518
600754.XSHG,锦江股份,2017-02-21,0.052000000000000005,292.1706
600111.XSHG,北方稀土,2017-02-21,0.289,468.6655
600038.XSHG,中直股份,2017-02-21,0.13,316.2543
300085.XSHE,银之杰,2017-02-21,0.055999999999999994,143.4377
600332.XSHG,白云山,2017-02-21,0.147,411.6503
601899.XSHG,紫金矿业,2017-02-21,0.42,784.0831
601198.XSHG,东兴证券,2017-02-21,0.22399999999999998,546.0762
600031.XSHG,三一重工,2017-02-21,0.27699999999999997,560.5617
600030.XSHG,中信证券,2017-02-21,1.375,2048.9692
002142.XSHE,宁波银行,2017-02-21,0.3670000000000001,728.8715
002081.XSHE,金螳螂,2017-02-21,0.168,284.1557
601727.XSHG,上海电气,2017-02-21,0.28,1130.9034
000800.XSHE,一汽轿车,2017-02-21,0.094,192.696
600036.XSHG,招商银行,2017-02-21,2.077,4895.1719
002146.XSHE,荣盛发展,2017-02-21,0.11199999999999999,389.1607
300024.XSHE,机器人,2017-02-21,0.23399999999999999,327.1822
600837.XSHG,海通证券,2017-02-21,1.392,1826.47
000768.XSHE,中航飞机,2017-02-21,0.34600000000000003,660.3218
600839.XSHG,四川长虹,2017-02-21,0.17,208.6542
601288.XSHG,农业银行,2017-02-21,1.301,10620.7676
000166.XSHE,申万宏源,2017-02-21,0.402,1309.6964
601818.XSHG,光大银行,2017-02-21,0.6890000000000001,1955.8541
002065.XSHE,东华软件,2017-02-21,0.209,321.2003
601111.XSHG,中国国航,2017-02-21,0.205,1035.0038
600535.XSHG,天士力,2017-02-21,0.275,408.744
300168.XSHE,万达信息,2017-02-21,0.139,190.6472
002714.XSHE,牧原股份,2017-02-21,0.105,272.3921
000938.XSHE,紫光股份,2017-02-21,0.084,587.6505
600741.XSHG,华域汽车,2017-02-21,0.222,531.5493
601118.XSHG,海南橡胶,2017-02-21,0.096,301.914
000540.XSHE,中天金融,2017-02-21,0.191,308.1299
002183.XSHE,怡亚通,2017-02-21,0.166,232.9482
600340.XSHG,华夏幸福,2017-02-21,0.228,781.2879
600109.XSHG,国金证券,2017-02-21,0.3,413.4299
000977.XSHE,浪潮信息,2017-02-21,0.126,210.4489
601618.XSHG,中国中冶,2017-02-21,0.287,1075.5558
600023.XSHG,浙能电力,2017-02-21,0.24600000000000002,803.8008
600104.XSHG,上汽集团,2017-02-21,0.9420000000000001,2973.4409
002252.XSHE,上海莱士,2017-02-21,0.235,1046.2354
600816.XSHG,安信信托,2017-02-21,0.222,553.543
600100.XSHG,同方股份,2017-02-21,0.256,411.3892
601328.XSHG,交通银行,2017-02-21,1.7530000000000001,4678.5518
601608.XSHG,中信重工,2017-02-21,0.07200000000000001,247.3469
000402.XSHE,金融街,2017-02-21,0.133,329.3801
002299.XSHE,圣农发展,2017-02-21,0.086,206.5163
000651.XSHE,格力电器,2017-02-21,1.315,1698.8424
601888.XSHG,中国国旅,2017-02-21,0.237,451.8028
601333.XSHG,广深铁路,2017-02-21,0.19899999999999998,385.3444
601611.XSHG,中国核建,2017-02-21,0.09699999999999999,470.1375
