,display_name,date,weight,market_cap
600259.XSHG,广晟有色,2013-06-13,0.11,105.596
600315.XSHG,上海家化,2013-06-13,0.37,268.136
600316.XSHG,洪都航空,2013-06-13,0.17,135.3912
002122.XSHE,*ST天马,2013-06-13,0.06,57.8556
600252.XSHG,中恒集团,2013-06-13,0.26,155.1373
002570.XSHE,*ST因美,2013-06-13,0.2,164.8813
000825.XSHE,太钢不锈,2013-06-13,0.14,177.1533
600256.XSHG,广汇能源,2013-06-13,0.82,689.3081
000709.XSHE,河钢股份,2013-06-13,0.18,227.2382
000559.XSHE,万向钱潮,2013-06-13,0.1,89.8601
000157.XSHE,中联重科,2013-06-13,0.58,518.6107
002236.XSHE,大华股份,2013-06-13,0.44,441.7197
000623.XSHE,吉林敖东,2013-06-13,0.26,151.6073
600827.XSHG,百联股份,2013-06-13,0.13,133.1489
600588.XSHG,用友网络,2013-06-13,0.1,97.4594
000703.XSHE,恒逸石化,2013-06-13,0.06,87.9034
002375.XSHE,亚厦股份,2013-06-13,0.15,188.6614
000629.XSHE,攀钢钒钛,2013-06-13,0.26,250.8206
600893.XSHG,航发动力,2013-06-13,0.14,154.1746
600125.XSHG,铁龙物流,2013-06-13,0.12,80.9424
600123.XSHG,兰花科创,2013-06-13,0.21,172.9594
600089.XSHG,特变电工,2013-06-13,0.42,211.3719
600895.XSHG,张江高科,2013-06-13,0.1,96.1736
000012.XSHE,南玻A,2013-06-13,0.27,224.1362
600085.XSHG,同仁堂,2013-06-13,0.29,285.4128
002415.XSHE,海康威视,2013-06-13,0.28,745.3958
601238.XSHG,广汽集团,2013-06-13,0.04,516.0886
601369.XSHG,陕鼓动力,2013-06-13,0.08,125.3659
000792.XSHE,盐湖股份,2013-06-13,0.28,325.8953
600005.XSHG,武钢股份,2013-06-13,0.2,247.2976
600340.XSHG,华夏幸福,2013-06-13,0.22,258.5789
600000.XSHG,浦发银行,2013-06-13,2.19,1682.5431
600550.XSHG,保变电气,2013-06-13,0.09,96.7959
600649.XSHG,城投控股,2013-06-13,0.21,214.2054
