,display_name,date,weight,market_cap
601288.XSHG,农业银行,2012-04-23,1.101,8801.9209
601688.XSHG,华泰证券,2012-04-23,0.342,574.0
600999.XSHG,招商证券,2012-04-23,0.618,622.2568
601788.XSHG,光大证券,2012-04-23,0.37,465.5316
002304.XSHE,洋河股份,2012-04-23,0.843,1414.71
601989.XSHG,中国重工,2012-04-23,0.555,931.3994
601299.XSHG,中国北车,2012-04-23,0.3670000000000001,462.3385
601179.XSHG,中国西电,2012-04-23,0.136,171.6658
601117.XSHG,中国化学,2012-04-23,0.26,327.5512
601888.XSHG,中国国旅,2012-04-23,0.151,253.528
600863.XSHG,内蒙华电,2012-04-23,0.124,208.8207
601607.XSHG,上海医药,2012-04-23,0.177,312.1825
000961.XSHE,中南建设,2012-04-23,0.07400000000000001,124.3749
600000.XSHG,浦发银行,2012-04-23,2.053,1723.5808
600005.XSHG,武钢股份,2012-04-23,0.23600000000000002,296.7571
600008.XSHG,首创股份,2012-04-23,0.114,115.06
600009.XSHG,上海机场,2012-04-23,0.253,254.5512
600010.XSHG,包钢股份,2012-04-23,0.312,392.4846
600015.XSHG,华夏银行,2012-04-23,0.754,758.9496
600016.XSHG,民生银行,2012-04-23,2.906,1838.0898
600019.XSHG,宝钢股份,2012-04-23,0.517,868.5976
600026.XSHG,中海发展,2012-04-23,0.078,210.4014
600028.XSHG,中国石化,2012-04-23,0.618,6311.8311
600029.XSHG,南方航空,2012-04-23,0.201,471.2432
600030.XSHG,中信证券,2012-04-23,1.794,1445.4185
600031.XSHG,三一重工,2012-04-23,0.873,1098.8093
600036.XSHG,招商银行,2012-04-23,2.971,2610.7698
600037.XSHG,歌华有线,2012-04-23,0.102,85.9956
600048.XSHG,保利地产,2012-04-23,0.85,713.7994
600050.XSHG,中国联通,2012-04-23,0.742,934.7699
600058.XSHG,五矿发展,2012-04-23,0.21600000000000005,272.2653
600062.XSHG,华润双鹤,2012-04-23,0.10300000000000001,86.6119
600066.XSHG,宇通客车,2012-04-23,0.243,174.9497
600068.XSHG,葛洲坝,2012-04-23,0.317,266.4419
600085.XSHG,同仁堂,2012-04-23,0.184,185.8048
600089.XSHG,特变电工,2012-04-23,0.41,206.3643
600096.XSHG,云天化,2012-04-23,0.08800000000000001,111.259
600100.XSHG,同方股份,2012-04-23,0.302,190.223
600104.XSHG,上汽集团,2012-04-23,0.662,1665.9631
600108.XSHG,亚盛集团,2012-04-23,0.16,100.9192
600109.XSHG,国金证券,2012-04-23,0.081,136.533
600111.XSHG,包钢稀土,2012-04-23,0.996,835.8474
600118.XSHG,中国卫星,2012-04-23,0.13,131.1441
600123.XSHG,兰花科创,2012-04-23,0.32,268.5211
600125.XSHG,铁龙物流,2012-04-23,0.163,117.2359
600132.XSHG,重庆啤酒,2012-04-23,0.14800000000000002,124.0418
600143.XSHG,金发科技,2012-04-23,0.257,184.9019
600150.XSHG,中国船舶,2012-04-23,0.312,392.6575
600151.XSHG,航天机电,2012-04-23,0.077,78.0342
600153.XSHG,建发股份,2012-04-23,0.21600000000000005,181.4816
600161.XSHG,天坛生物,2012-04-23,0.076,76.2891
