,display_name,date,weight,market_cap
600259.XSHG,广晟有色,2013-11-15,0.1,101.8051
600315.XSHG,上海家化,2013-11-15,0.37,291.0334
600316.XSHG,洪都航空,2013-11-15,0.14,114.1646
600252.XSHG,中恒集团,2013-11-15,0.23,146.4033
002570.XSHE,*ST因美,2013-11-15,0.25,219.5223
600170.XSHG,上海建工,2013-11-15,0.1,174.0093
600256.XSHG,广汇能源,2013-11-15,0.74,583.7553
000709.XSHE,河钢股份,2013-11-15,0.16,199.6298
000156.XSHE,华数传媒,2013-11-15,0.03,271.9527
000157.XSHE,中联重科,2013-11-15,0.5,425.3687
002236.XSHE,大华股份,2013-11-15,0.36,487.4504
000623.XSHE,吉林敖东,2013-11-15,0.25,148.2979
002155.XSHE,湖南黄金,2013-11-15,0.13,96.9369
600588.XSHG,用友网络,2013-11-15,0.11,119.2343
000703.XSHE,恒逸石化,2013-11-15,0.06,90.3259
002375.XSHE,亚厦股份,2013-11-15,0.17,156.826
000629.XSHE,攀钢钒钛,2013-11-15,0.19,194.1283
600893.XSHG,航发动力,2013-11-15,0.18,191.547
002294.XSHE,信立泰,2013-11-15,0.14,232.1502
600125.XSHG,铁龙物流,2013-11-15,0.11,73.8925
600123.XSHG,兰花科创,2013-11-15,0.16,139.3728
600089.XSHG,特变电工,2013-11-15,0.57,310.9961
600895.XSHG,张江高科,2013-11-15,0.11,120.6429
000012.XSHE,南玻A,2013-11-15,0.23,184.9124
600085.XSHG,同仁堂,2013-11-15,0.25,254.1587
601238.XSHG,广汽集团,2013-11-15,0.14,595.2394
601369.XSHG,陕鼓动力,2013-11-15,0.07,114.2223
000792.XSHE,盐湖股份,2013-11-15,0.21,269.1142
600005.XSHG,武钢股份,2013-11-15,0.19,232.1569
600340.XSHG,华夏幸福,2013-11-15,0.25,278.7308
600000.XSHG,浦发银行,2013-11-15,2.3,1805.656
600550.XSHG,保变电气,2013-11-15,0.07,72.4939
600649.XSHG,城投控股,2013-11-15,0.24,274.2547
601117.XSHG,中国化学,2013-11-15,0.28,384.2807
