,display_name,date,weight,market_cap
000413.XSHE,东旭光电,2016-06-20,0.16899999999999998,324.8245
000415.XSHE,渤海租赁,2016-06-20,0.151,421.7844
600315.XSHG,上海家化,2016-06-20,0.17800000000000002,183.876
600317.XSHG,营口港,2016-06-20,0.08,217.4922
600252.XSHG,中恒集团,2016-06-20,0.147,148.0396
000825.XSHE,太钢不锈,2016-06-20,0.086,179.4318
000826.XSHE,启迪桑德,2016-06-20,0.182,253.7264
600256.XSHG,广汇能源,2016-06-20,0.159,213.5563
000709.XSHE,河钢股份,2016-06-20,0.141,285.6406
000559.XSHE,万向钱潮,2016-06-20,0.20199999999999999,367.0879
000156.XSHE,华数传媒,2016-06-20,0.028999999999999998,257.2867
000157.XSHE,中联重科,2016-06-20,0.218,313.463
000623.XSHE,吉林敖东,2016-06-20,0.21600000000000005,216.4541
002375.XSHE,亚厦股份,2016-06-20,0.092,147.9955
000629.XSHE,攀钢钒钛,2016-06-20,0.122,205.2949
600893.XSHG,航发动力,2016-06-20,0.313,656.7182
600783.XSHG,鲁信创投,2016-06-20,0.08,152.2215
601872.XSHG,招商轮船,2016-06-20,0.12300000000000001,253.3141
600089.XSHG,特变电工,2016-06-20,0.263,270.3402
600895.XSHG,张江高科,2016-06-20,0.175,275.9765
600085.XSHG,同仁堂,2016-06-20,0.225,376.6057
601238.XSHG,广汽集团,2016-06-20,0.155,1445.3055
000792.XSHE,盐湖股份,2016-06-20,0.16399999999999998,378.1654
600005.XSHG,武钢股份,2016-06-20,0.141,284.6446
300027.XSHE,华谊兄弟,2016-06-20,0.345,372.0244
600000.XSHG,浦发银行,2016-06-20,2.141,3508.0571
600648.XSHG,外高桥,2016-06-20,0.08199999999999999,207.6554
600649.XSHG,城投控股,2016-06-20,0.26,429.0084
001979.XSHE,招商蛇口,2016-06-20,0.4,1163.4824
300124.XSHE,汇川技术,2016-06-20,0.20800000000000002,299.6691
600415.XSHG,小商品城,2016-06-20,0.21,335.8463
601633.XSHG,长城汽车,2016-06-20,0.12300000000000001,786.7706
600008.XSHG,首创股份,2016-06-20,0.092,181.2551
600009.XSHG,上海机场,2016-06-20,0.318,506.212
300144.XSHE,宋城演艺,2016-06-20,0.171,343.1073
600066.XSHG,宇通客车,2016-06-20,0.31,446.7729
600060.XSHG,海信电器,2016-06-20,0.15,233.9564
000540.XSHE,中天金融,2016-06-20,0.14300000000000002,291.0511
000937.XSHE,冀中能源,2016-06-20,0.067,176.324
601988.XSHG,中国银行,2016-06-20,0.843,9773.6748
601989.XSHG,中国重工,2016-06-20,0.672,1132.9147
000738.XSHE,航发控制,2016-06-20,0.136,288.2436
600958.XSHG,东方证券,2016-06-20,0.223,880.4665
600068.XSHG,葛洲坝,2016-06-20,0.19399999999999998,269.84
000423.XSHE,东阿阿胶,2016-06-20,0.289,342.7727
600660.XSHG,福耀玻璃,2016-06-20,0.245,348.44699999999995
601225.XSHG,陕西煤业,2016-06-20,0.106,463.0
300251.XSHE,光线传媒,2016-06-20,0.126,324.7505
000630.XSHE,铜陵有色,2016-06-20,0.11800000000000001,243.7964
600998.XSHG,九州通,2016-06-20,0.069,276.3682
601390.XSHG,中国中铁,2016-06-20,0.483,1539.7059
601788.XSHG,光大证券,2016-06-20,0.237,623.5091
601398.XSHG,工商银行,2016-06-20,1.12,15646.2344
601021.XSHG,春秋航空,2016-06-20,0.14300000000000002,410.56
600153.XSHG,建发股份,2016-06-20,0.35100000000000003,316.6919
600150.XSHG,中国船舶,2016-06-20,0.18600000000000005,296.2953
601866.XSHG,中远海发,2016-06-20,0.16399999999999998,474.3349
600718.XSHG,东软集团,2016-06-20,0.188,214.096
600157.XSHG,永泰能源,2016-06-20,0.165,484.606
300315.XSHE,掌趣科技,2016-06-20,0.203,279.0527
000027.XSHE,深圳能源,2016-06-20,0.092,256.5026
600867.XSHG,通化东宝,2016-06-20,0.23600000000000002,270.9639
600717.XSHG,天津港,2016-06-20,0.08900000000000001,148.55200000000005
600863.XSHG,内蒙华电,2016-06-20,0.107,175.9747
600100.XSHG,同方股份,2016-06-20,0.322,435.9895
600398.XSHG,海澜之家,2016-06-20,0.18,486.5657
600795.XSHG,国电电力,2016-06-20,0.345,571.8266
600011.XSHG,华能国际,2016-06-20,0.376,1109.6281
600010.XSHG,包钢股份,2016-06-20,0.355,927.981
600016.XSHG,民生银行,2016-06-20,3.199,3301.9241
600015.XSHG,华夏银行,2016-06-20,0.649,1064.283
601318.XSHG,中国平安,2016-06-20,4.2219999999999995,5871.6133
600019.XSHG,宝钢股份,2016-06-20,0.311,824.9931
600018.XSHG,上港集团,2016-06-20,0.20199999999999999,1163.3185
600549.XSHG,厦门钨业,2016-06-20,0.138,313.0075
601258.XSHG,庞大集团,2016-06-20,0.106,183.5642
601991.XSHG,大唐发电,2016-06-20,0.14300000000000002,515.0985
600369.XSHG,西南证券,2016-06-20,0.273,426.7702
601992.XSHG,金隅集团,2016-06-20,0.11900000000000001,496.5808
000725.XSHE,京东方A,2016-06-20,0.6709999999999999,815.5512
600372.XSHG,中航电子,2016-06-20,0.11800000000000001,315.7697
600373.XSHG,中文传媒,2016-06-20,0.138,278.6195
000538.XSHE,云南白药,2016-06-20,0.387,647.8548
000539.XSHE,粤电力A,2016-06-20,0.055999999999999994,269.8646
000400.XSHE,许继电气,2016-06-20,0.10400000000000001,159.114
000686.XSHE,东北证券,2016-06-20,0.209,290.6843
000338.XSHE,潍柴动力,2016-06-20,0.22899999999999998,305.0947
002024.XSHE,苏宁易购,2016-06-20,0.581,1017.5873
601211.XSHG,国泰君安,2016-06-20,0.33399999999999996,1321.4125
600547.XSHG,山东黄金,2016-06-20,0.251,516.7176
600873.XSHG,梅花生物,2016-06-20,0.153,191.7776
601919.XSHG,中远海控,2016-06-20,0.193,524.0949
002594.XSHE,比亚迪,2016-06-20,0.445,1475.696
600383.XSHG,金地集团,2016-06-20,0.299,490.1425
600900.XSHG,长江电力,2016-06-20,0.9790000000000001,2741.2
000039.XSHE,中集集团,2016-06-20,0.126,425.3024
601857.XSHG,中国石油,2016-06-20,0.426,13195.8125
600703.XSHG,三安光电,2016-06-20,0.309,495.0188
000983.XSHE,西山煤电,2016-06-20,0.139,230.6678
600999.XSHG,招商证券,2016-06-20,0.573,902.5843
002292.XSHE,奥飞娱乐,2016-06-20,0.19,379.0685
000783.XSHE,长江证券,2016-06-20,0.39799999999999996,490.3712
600705.XSHG,中航资本,2016-06-20,0.299,533.6426
002450.XSHE,ST康得新,2016-06-20,0.505,546.0701
600570.XSHG,恒生电子,2016-06-20,0.36,406.2687
002153.XSHE,石基信息,2016-06-20,0.102,267.4439
601158.XSHG,重庆水务,2016-06-20,0.047,305.76
000831.XSHE,五矿稀土,2016-06-20,0.131,132.3219
002195.XSHE,二三四五,2016-06-20,0.08900000000000001,225.4349
600578.XSHG,京能电力,2016-06-20,0.07200000000000001,197.6213
600663.XSHG,陆家嘴,2016-06-20,0.201,781.9619
300003.XSHE,乐普医疗,2016-06-20,0.187,316.1965
601099.XSHG,太平洋,2016-06-20,0.35100000000000003,271.7438
300015.XSHE,爱尔眼科,2016-06-20,0.154,342.5308
000625.XSHE,长安汽车,2016-06-20,0.39,650.9389
002475.XSHE,立讯精密,2016-06-20,0.16899999999999998,360.6443
600688.XSHG,上海石化,2016-06-20,0.161,617.76
002252.XSHE,上海莱士,2016-06-20,0.24600000000000002,1020.7386
600352.XSHG,浙江龙盛,2016-06-20,0.23600000000000002,276.5332
600048.XSHG,保利地产,2016-06-20,0.653,1012.4696
600362.XSHG,江西铜业,2016-06-20,0.132,455.0026
600208.XSHG,新湖中宝,2016-06-20,0.128,364.8968
000917.XSHE,电广传媒,2016-06-20,0.243,212.2082
603288.XSHG,海天味业,2016-06-20,0.096,791.3063
000750.XSHE,国海证券,2016-06-20,0.192,300.1466
000999.XSHE,华润三九,2016-06-20,0.107,228.8668
601628.XSHG,中国人寿,2016-06-20,0.429,5771.6528
601928.XSHG,凤凰传媒,2016-06-20,0.099,265.1786
002038.XSHE,双鹭药业,2016-06-20,0.14,195.8129
002470.XSHE,金正大,2016-06-20,0.113,253.0153
601009.XSHG,南京银行,2016-06-20,0.43,559.8257
600674.XSHG,川投能源,2016-06-20,0.22399999999999998,373.7417
603993.XSHG,洛阳钼业,2016-06-20,0.11900000000000001,748.1029
300146.XSHE,汤臣倍健,2016-06-20,0.09699999999999999,192.1949
002422.XSHE,科伦药业,2016-06-20,0.152,210.384
600177.XSHG,雅戈尔,2016-06-20,0.278,353.7958
000046.XSHE,泛海控股,2016-06-20,0.18600000000000005,503.5118
601006.XSHG,大秦铁路,2016-06-20,0.46,945.5279
601169.XSHG,北京银行,2016-06-20,1.2990000000000002,1307.774
600271.XSHG,航天信息,2016-06-20,0.33399999999999996,421.8111
601098.XSHG,中南传媒,2016-06-20,0.151,320.586
600276.XSHG,恒瑞医药,2016-06-20,0.642,919.6187
300070.XSHE,碧水源,2016-06-20,0.278,450.0348
601088.XSHG,中国神华,2016-06-20,0.32899999999999996,2687.0876
601166.XSHG,兴业银行,2016-06-20,2.573,2951.207000000001
600196.XSHG,复星医药,2016-06-20,0.263,434.3519
601766.XSHG,中国中车,2016-06-20,1.0590000000000002,2480.5481
601231.XSHG,环旭电子,2016-06-20,0.039,236.0877
002673.XSHE,西部证券,2016-06-20,0.32,651.3677
