,term,term_d,rate
2015-12-07,0d,0.0,1.641
2015-12-07,1m,0.08,2.2075
2015-12-07,2m,0.17,2.4951
2015-12-07,3m,0.25,2.5098
2015-12-07,6m,0.5,2.5029
2015-12-07,9m,0.75,2.5012
2015-12-07,1y,1.0,2.5201
2015-12-07,2y,2.0,2.6241
2015-12-07,3y,3.0,2.7242
2015-12-07,4y,4.0,2.7966
2015-12-07,5y,5.0,2.8651
2015-12-07,6y,6.0,2.9831
2015-12-07,7y,7.0,3.0399
2015-12-07,8y,8.0,3.0371
2015-12-07,9y,9.0,3.0318
2015-12-07,10y,10.0,3.028
2015-12-07,15y,15.0,3.3521
2015-12-07,20y,20.0,3.6747
2015-12-07,30y,30.0,3.8064
2015-12-07,40y,40.0,3.843
2015-12-07,50y,50.0,3.8764
