,term,term_d,rate
2015-11-09,0d,0.0,1.4818
2015-11-09,1m,0.08,2.3329
2015-11-09,2m,0.17,2.4857
2015-11-09,3m,0.25,2.4834
2015-11-09,6m,0.5,2.4628
2015-11-09,9m,0.75,2.4987
2015-11-09,1y,1.0,2.5389
2015-11-09,2y,2.0,2.6887
2015-11-09,3y,3.0,2.8381
2015-11-09,4y,4.0,2.9497
2015-11-09,5y,5.0,3.0479
2015-11-09,6y,6.0,3.1821
2015-11-09,7y,7.0,3.2499
2015-11-09,8y,8.0,3.2417
2015-11-09,9y,9.0,3.225
2015-11-09,10y,10.0,3.2099
2015-11-09,15y,15.0,3.4751
2015-11-09,20y,20.0,3.7978
2015-11-09,30y,30.0,3.8758
2015-11-09,40y,40.0,3.9274
2015-11-09,50y,50.0,3.9732
