,term,term_d,rate
2013-10-23,0d,0.0,2.9897
2013-10-23,1m,0.08,3.5988
2013-10-23,2m,0.17,3.6176
2013-10-23,3m,0.25,3.5321
2013-10-23,6m,0.5,3.4418
2013-10-23,9m,0.75,3.4962
2013-10-23,1y,1.0,3.5645
2013-10-23,2y,2.0,3.7491
2013-10-23,3y,3.0,3.8866
2013-10-23,4y,4.0,3.9303
2013-10-23,5y,5.0,3.9577
2013-10-23,6y,6.0,4.0933
2013-10-23,7y,7.0,4.1349
2013-10-23,8y,8.0,4.1346
2013-10-23,9y,9.0,4.1473
2013-10-23,10y,10.0,4.1491
2013-10-23,15y,15.0,4.3847
2013-10-23,20y,20.0,4.5885
2013-10-23,30y,30.0,4.7612
2013-10-23,40y,40.0,4.8024
2013-10-23,50y,50.0,4.8323
