,term,term_d,rate
2014-08-08,0d,0.0,2.3977
2014-08-08,1m,0.08,3.3251
2014-08-08,2m,0.17,3.4787
2014-08-08,3m,0.25,3.5281
2014-08-08,6m,0.5,3.7637
2014-08-08,9m,0.75,3.7094
2014-08-08,1y,1.0,3.7030000000000003
2014-08-08,2y,2.0,3.8417
2014-08-08,3y,3.0,3.907
2014-08-08,4y,4.0,3.9399
2014-08-08,5y,5.0,3.9807
2014-08-08,6y,6.0,4.0688
2014-08-08,7y,7.0,4.1854
2014-08-08,8y,8.0,4.2396
2014-08-08,9y,9.0,4.2623
2014-08-08,10y,10.0,4.2712
2014-08-08,15y,15.0,4.4534
2014-08-08,20y,20.0,4.635
2014-08-08,30y,30.0,4.7952
2014-08-08,40y,40.0,4.8754
2014-08-08,50y,50.0,4.9196
