,term,term_d,rate
2014-07-03,0d,0.0,2.0867
2014-07-03,1m,0.08,2.8123
2014-07-03,2m,0.17,3.1853
2014-07-03,3m,0.25,3.2016
2014-07-03,6m,0.5,3.2271
2014-07-03,9m,0.75,3.3057
2014-07-03,1y,1.0,3.4656
2014-07-03,2y,2.0,3.679
2014-07-03,3y,3.0,3.8873
2014-07-03,4y,4.0,3.9288
2014-07-03,5y,5.0,3.9327
2014-07-03,6y,6.0,3.9841
2014-07-03,7y,7.0,4.0937
2014-07-03,8y,8.0,4.1166
2014-07-03,9y,9.0,4.1391
2014-07-03,10y,10.0,4.1503
2014-07-03,15y,15.0,4.3433
2014-07-03,20y,20.0,4.5253
2014-07-03,30y,30.0,4.6702
2014-07-03,40y,40.0,4.7678
2014-07-03,50y,50.0,4.812
