,term,term_d,rate
2015-09-14,0d,0.0,1.4048
2015-09-14,1m,0.08,2.0837
2015-09-14,2m,0.17,2.1002
2015-09-14,3m,0.25,2.1707
2015-09-14,6m,0.5,2.2957
2015-09-14,9m,0.75,2.2774
2015-09-14,1y,1.0,2.2862
2015-09-14,2y,2.0,2.6499
2015-09-14,3y,3.0,2.9708
2015-09-14,4y,4.0,3.1051
2015-09-14,5y,5.0,3.1718
2015-09-14,6y,6.0,3.2958
2015-09-14,7y,7.0,3.3448
2015-09-14,8y,8.0,3.3413
2015-09-14,9y,9.0,3.335
2015-09-14,10y,10.0,3.3303
2015-09-14,15y,15.0,3.4983
2015-09-14,20y,20.0,3.6929
2015-09-14,30y,30.0,3.801
2015-09-14,40y,40.0,3.8572
2015-09-14,50y,50.0,3.903
