,term,term_d,rate
2011-03-17,0d,0.0,1.1459
2011-03-17,1m,0.08,1.8298
2011-03-17,2m,0.17,2.3419
2011-03-17,3m,0.25,2.4799
2011-03-17,6m,0.5,2.6928
2011-03-17,9m,0.75,2.7539999999999996
2011-03-17,1y,1.0,2.89
2011-03-17,2y,2.0,3.1611
2011-03-17,3y,3.0,3.2321
2011-03-17,4y,4.0,3.3804
2011-03-17,5y,5.0,3.4932
2011-03-17,6y,6.0,3.65
2011-03-17,7y,7.0,3.6748
2011-03-17,8y,8.0,3.7961
2011-03-17,9y,9.0,3.8215
2011-03-17,10y,10.0,3.8326
2011-03-17,15y,15.0,4.0508
2011-03-17,20y,20.0,4.1597
2011-03-17,30y,30.0,4.2735
2011-03-17,40y,40.0,4.3504
2011-03-17,50y,50.0,4.4157
