,term,term_d,rate
2011-10-24,0d,0.0,2.3423
2011-10-24,1m,0.08,2.7898
2011-10-24,2m,0.17,3.0735
2011-10-24,3m,0.25,3.0861
2011-10-24,6m,0.5,3.1146
2011-10-24,9m,0.75,3.1272
2011-10-24,1y,1.0,3.1347
2011-10-24,2y,2.0,3.4352
2011-10-24,3y,3.0,3.5029
2011-10-24,4y,4.0,3.576
2011-10-24,5y,5.0,3.6118
2011-10-24,6y,6.0,3.6768
2011-10-24,7y,7.0,3.7004
2011-10-24,8y,8.0,3.7328
2011-10-24,9y,9.0,3.7516
2011-10-24,10y,10.0,3.7533
2011-10-24,15y,15.0,4.0481
2011-10-24,20y,20.0,4.1842
2011-10-24,30y,30.0,4.2615
2011-10-24,40y,40.0,4.3727
2011-10-24,50y,50.0,4.4664
