,term,term_d,rate
2015-09-30,0d,0.0,1.4948
2015-09-30,1m,0.08,2.2537
2015-09-30,2m,0.17,2.1885
2015-09-30,3m,0.25,2.2139
2015-09-30,6m,0.5,2.3299
2015-09-30,9m,0.75,2.3279
2015-09-30,1y,1.0,2.3919
2015-09-30,2y,2.0,2.6715
2015-09-30,3y,3.0,2.9183
2015-09-30,4y,4.0,3.0212
2015-09-30,5y,5.0,3.0529
2015-09-30,6y,6.0,3.1894
2015-09-30,7y,7.0,3.2598
2015-09-30,8y,8.0,3.2537
2015-09-30,9y,9.0,3.2432
2015-09-30,10y,10.0,3.2362
2015-09-30,15y,15.0,3.4549
2015-09-30,20y,20.0,3.7313
2015-09-30,30y,30.0,3.8709
2015-09-30,40y,40.0,3.9266
2015-09-30,50y,50.0,3.9724
