,term,term_d,rate
2011-11-23,0d,0.0,2.9528
2011-11-23,1m,0.08,2.7545
2011-11-23,2m,0.17,2.6355
2011-11-23,3m,0.25,2.6458
2011-11-23,6m,0.5,2.6483
2011-11-23,9m,0.75,2.6625
2011-11-23,1y,1.0,2.6717
2011-11-23,2y,2.0,3.0651
2011-11-23,3y,3.0,3.1369
2011-11-23,4y,4.0,3.3096
2011-11-23,5y,5.0,3.3321
2011-11-23,6y,6.0,3.4619
2011-11-23,7y,7.0,3.5159
2011-11-23,8y,8.0,3.5909
2011-11-23,9y,9.0,3.5904
2011-11-23,10y,10.0,3.5914
2011-11-23,15y,15.0,3.8566
2011-11-23,20y,20.0,4.0298
2011-11-23,30y,30.0,4.1438
2011-11-23,40y,40.0,4.2368
2011-11-23,50y,50.0,4.3208
