,term,term_d,rate
2014-03-12,0d,0.0,1.0067
2014-03-12,1m,0.08,2.911
2014-03-12,2m,0.17,3.0311
2014-03-12,3m,0.25,3.0939
2014-03-12,6m,0.5,3.0781
2014-03-12,9m,0.75,3.0289
2014-03-12,1y,1.0,3.2083
2014-03-12,2y,2.0,3.5411
2014-03-12,3y,3.0,3.6767
2014-03-12,4y,4.0,4.125
2014-03-12,5y,5.0,4.149
2014-03-12,6y,6.0,4.4437
2014-03-12,7y,7.0,4.3521
2014-03-12,8y,8.0,4.4533
2014-03-12,9y,9.0,4.4507
2014-03-12,10y,10.0,4.5024
2014-03-12,15y,15.0,4.7278
2014-03-12,20y,20.0,4.961
2014-03-12,30y,30.0,5.0694
2014-03-12,40y,40.0,5.1422
2014-03-12,50y,50.0,5.1964
