,term,term_d,rate
2011-03-22,0d,0.0,1.3884
2011-03-22,1m,0.08,2.0337
2011-03-22,2m,0.17,2.4882
2011-03-22,3m,0.25,2.5758
2011-03-22,6m,0.5,2.7209
2011-03-22,9m,0.75,2.7717
2011-03-22,1y,1.0,2.915
2011-03-22,2y,2.0,3.1613
2011-03-22,3y,3.0,3.2532
2011-03-22,4y,4.0,3.4021
2011-03-22,5y,5.0,3.5262
2011-03-22,6y,6.0,3.69
2011-03-22,7y,7.0,3.7165
2011-03-22,8y,8.0,3.7994
2011-03-22,9y,9.0,3.8496
2011-03-22,10y,10.0,3.8987
2011-03-22,15y,15.0,4.0841
2011-03-22,20y,20.0,4.1983
2011-03-22,30y,30.0,4.3
2011-03-22,40y,40.0,4.3701
2011-03-22,50y,50.0,4.4358
