,term,term_d,rate
2014-07-17,0d,0.0,2.3732
2014-07-17,1m,0.08,3.2383
2014-07-17,2m,0.17,3.2576
2014-07-17,3m,0.25,3.2892
2014-07-17,6m,0.5,3.409
2014-07-17,9m,0.75,3.6069
2014-07-17,1y,1.0,3.7771
2014-07-17,2y,2.0,3.8681
2014-07-17,3y,3.0,3.9695
2014-07-17,4y,4.0,4.0172
2014-07-17,5y,5.0,4.0667
2014-07-17,6y,6.0,4.1215
2014-07-17,7y,7.0,4.2215
2014-07-17,8y,8.0,4.2346
2014-07-17,9y,9.0,4.2461
2014-07-17,10y,10.0,4.2669999999999995
2014-07-17,15y,15.0,4.4489
2014-07-17,20y,20.0,4.6309
2014-07-17,30y,30.0,4.7758
2014-07-17,40y,40.0,4.8734
2014-07-17,50y,50.0,4.9176
