,term,term_d,rate
2011-10-26,0d,0.0,3.0089
2011-10-26,1m,0.08,3.0457
2011-10-26,2m,0.17,3.0824
2011-10-26,3m,0.25,3.1027
2011-10-26,6m,0.5,3.1129
2011-10-26,9m,0.75,3.1351
2011-10-26,1y,1.0,3.1691
2011-10-26,2y,2.0,3.4335
2011-10-26,3y,3.0,3.5087
2011-10-26,4y,4.0,3.5787
2011-10-26,5y,5.0,3.6307
2011-10-26,6y,6.0,3.6855
2011-10-26,7y,7.0,3.7212
2011-10-26,8y,8.0,3.7588
2011-10-26,9y,9.0,3.7859
2011-10-26,10y,10.0,3.7918
2011-10-26,15y,15.0,4.04
2011-10-26,20y,20.0,4.1762
2011-10-26,30y,30.0,4.2485
2011-10-26,40y,40.0,4.3578
2011-10-26,50y,50.0,4.4514
