,term,term_d,rate
2012-10-31,0d,0.0,2.1497
2012-10-31,1m,0.08,2.419
2012-10-31,2m,0.17,2.6836
2012-10-31,3m,0.25,2.7921
2012-10-31,6m,0.5,2.8315
2012-10-31,9m,0.75,2.8363
2012-10-31,1y,1.0,2.9327
2012-10-31,2y,2.0,3.0243
2012-10-31,3y,3.0,3.04
2012-10-31,4y,4.0,3.1909
2012-10-31,5y,5.0,3.2152
2012-10-31,6y,6.0,3.3939999999999997
2012-10-31,7y,7.0,3.4809
2012-10-31,8y,8.0,3.5056
2012-10-31,9y,9.0,3.5363
2012-10-31,10y,10.0,3.5739
2012-10-31,15y,15.0,3.8572
2012-10-31,20y,20.0,4.1201
2012-10-31,30y,30.0,4.2049
2012-10-31,40y,40.0,4.2776
2012-10-31,50y,50.0,4.3198
