,term,term_d,rate
2015-09-09,0d,0.0,1.6018
2015-09-09,1m,0.08,2.0646
2015-09-09,2m,0.17,2.1306
2015-09-09,3m,0.25,2.2068
2015-09-09,6m,0.5,2.3059
2015-09-09,9m,0.75,2.2927
2015-09-09,1y,1.0,2.2543
2015-09-09,2y,2.0,2.6491
2015-09-09,3y,3.0,2.9902
2015-09-09,4y,4.0,3.1114
2015-09-09,5y,5.0,3.1843
2015-09-09,6y,6.0,3.3047
2015-09-09,7y,7.0,3.3457
2015-09-09,8y,8.0,3.3469
2015-09-09,9y,9.0,3.3474
2015-09-09,10y,10.0,3.3478
2015-09-09,15y,15.0,3.5158
2015-09-09,20y,20.0,3.7104
2015-09-09,30y,30.0,3.8185
2015-09-09,40y,40.0,3.8747
2015-09-09,50y,50.0,3.9205
