,term,term_d,rate
2014-05-08,0d,0.0,1.4067
2014-05-08,1m,0.08,2.7345
2014-05-08,2m,0.17,3.0002
2014-05-08,3m,0.25,3.0942
2014-05-08,6m,0.5,3.3421
2014-05-08,9m,0.75,3.4998
2014-05-08,1y,1.0,3.497
2014-05-08,2y,2.0,3.7091
2014-05-08,3y,3.0,3.9304
2014-05-08,4y,4.0,4.0236
2014-05-08,5y,5.0,4.0307
2014-05-08,6y,6.0,4.1772
2014-05-08,7y,7.0,4.1509
2014-05-08,8y,8.0,4.2048
2014-05-08,9y,9.0,4.2402
2014-05-08,10y,10.0,4.2303
2014-05-08,15y,15.0,4.4657
2014-05-08,20y,20.0,4.6777
2014-05-08,30y,30.0,4.7935
2014-05-08,40y,40.0,4.8806
2014-05-08,50y,50.0,4.9323
