,term,term_d,rate
2014-07-23,0d,0.0,2.4217
2014-07-23,1m,0.08,3.7913
2014-07-23,2m,0.17,3.4779
2014-07-23,3m,0.25,3.455
2014-07-23,6m,0.5,3.5098
2014-07-23,9m,0.75,3.5857
2014-07-23,1y,1.0,3.7794
2014-07-23,2y,2.0,3.8668
2014-07-23,3y,3.0,3.9189999999999996
2014-07-23,4y,4.0,3.9742
2014-07-23,5y,5.0,4.0292
2014-07-23,6y,6.0,4.0946
2014-07-23,7y,7.0,4.2053
2014-07-23,8y,8.0,4.2435
2014-07-23,9y,9.0,4.2681
2014-07-23,10y,10.0,4.2967
2014-07-23,15y,15.0,4.4788
2014-07-23,20y,20.0,4.6608
2014-07-23,30y,30.0,4.7807
2014-07-23,40y,40.0,4.8783
2014-07-23,50y,50.0,4.9225
