,term,term_d,rate
2013-07-19,0d,0.0,2.5264
2013-07-19,1m,0.08,3.5239
2013-07-19,2m,0.17,3.5424
2013-07-19,3m,0.25,3.5599
2013-07-19,6m,0.5,3.4985
2013-07-19,9m,0.75,3.4849
2013-07-19,1y,1.0,3.4624
2013-07-19,2y,2.0,3.3718
2013-07-19,3y,3.0,3.4315
2013-07-19,4y,4.0,3.4932
2013-07-19,5y,5.0,3.4982
2013-07-19,6y,6.0,3.6135
2013-07-19,7y,7.0,3.6249
2013-07-19,8y,8.0,3.6581
2013-07-19,9y,9.0,3.7028
2013-07-19,10y,10.0,3.7051
2013-07-19,15y,15.0,3.8496
2013-07-19,20y,20.0,4.0381
2013-07-19,30y,30.0,4.1538
2013-07-19,40y,40.0,4.2324
2013-07-19,50y,50.0,4.2697
