,term,term_d,rate
2011-11-15,0d,0.0,2.2556
2011-11-15,1m,0.08,2.3952
2011-11-15,2m,0.17,2.4859
2011-11-15,3m,0.25,2.4915
2011-11-15,6m,0.5,2.4932
2011-11-15,9m,0.75,2.5049
2011-11-15,1y,1.0,2.5459
2011-11-15,2y,2.0,2.9324
2011-11-15,3y,3.0,3.1313
2011-11-15,4y,4.0,3.2769
2011-11-15,5y,5.0,3.3423
2011-11-15,6y,6.0,3.5234
2011-11-15,7y,7.0,3.5410000000000004
2011-11-15,8y,8.0,3.5902
2011-11-15,9y,9.0,3.6368
2011-11-15,10y,10.0,3.6563
2011-11-15,15y,15.0,3.8791
2011-11-15,20y,20.0,4.0227
2011-11-15,30y,30.0,4.1553
2011-11-15,40y,40.0,4.248
2011-11-15,50y,50.0,4.3317
