,term,term_d,rate
2014-05-21,0d,0.0,1.6047
2014-05-21,1m,0.08,3.0445
2014-05-21,2m,0.17,2.9582
2014-05-21,3m,0.25,3.0937
2014-05-21,6m,0.5,3.2495
2014-05-21,9m,0.75,3.5097
2014-05-21,1y,1.0,3.5037
2014-05-21,2y,2.0,3.6833
2014-05-21,3y,3.0,3.9599
2014-05-21,4y,4.0,4.0082
2014-05-21,5y,5.0,4.0425
2014-05-21,6y,6.0,4.0675
2014-05-21,7y,7.0,4.1056
2014-05-21,8y,8.0,4.1246
2014-05-21,9y,9.0,4.1652
2014-05-21,10y,10.0,4.177
2014-05-21,15y,15.0,4.4018
2014-05-21,20y,20.0,4.6138
2014-05-21,30y,30.0,4.7296
2014-05-21,40y,40.0,4.8167
2014-05-21,50y,50.0,4.8684
