,term,term_d,rate
2014-10-22,0d,0.0,2.1157
2014-10-22,1m,0.08,3.3702
2014-10-22,2m,0.17,3.3448
2014-10-22,3m,0.25,3.4468
2014-10-22,6m,0.5,3.4564
2014-10-22,9m,0.75,3.4723
2014-10-22,1y,1.0,3.4851
2014-10-22,2y,2.0,3.5149
2014-10-22,3y,3.0,3.5317
2014-10-22,4y,4.0,3.5351
2014-10-22,5y,5.0,3.5539
2014-10-22,6y,6.0,3.6374
2014-10-22,7y,7.0,3.7692
2014-10-22,8y,8.0,3.7816
2014-10-22,9y,9.0,3.7875
2014-10-22,10y,10.0,3.7929
2014-10-22,15y,15.0,4.0111
2014-10-22,20y,20.0,4.2010000000000005
2014-10-22,30y,30.0,4.4427
2014-10-22,40y,40.0,4.5033
2014-10-22,50y,50.0,4.5575
