,term,term_d,rate
2012-08-14,0d,0.0,1.6197
2012-08-14,1m,0.08,2.0009
2012-08-14,2m,0.17,2.2985
2012-08-14,3m,0.25,2.3568
2012-08-14,6m,0.5,2.4313
2012-08-14,9m,0.75,2.419
2012-08-14,1y,1.0,2.4183
2012-08-14,2y,2.0,2.616
2012-08-14,3y,3.0,2.7202
2012-08-14,4y,4.0,2.7535
2012-08-14,5y,5.0,3.0012
2012-08-14,6y,6.0,3.1337
2012-08-14,7y,7.0,3.2073
2012-08-14,8y,8.0,3.2719
2012-08-14,9y,9.0,3.2987
2012-08-14,10y,10.0,3.3105
2012-08-14,15y,15.0,3.6295
2012-08-14,20y,20.0,3.9068
2012-08-14,30y,30.0,4.1416
2012-08-14,40y,40.0,4.1793
2012-08-14,50y,50.0,4.2428
