,term,term_d,rate
2014-02-10,0d,0.0,3.0242
2014-02-10,1m,0.08,4.217
2014-02-10,2m,0.17,3.3764
2014-02-10,3m,0.25,3.3794
2014-02-10,6m,0.5,3.4544
2014-02-10,9m,0.75,3.458
2014-02-10,1y,1.0,3.5039
2014-02-10,2y,2.0,3.7046
2014-02-10,3y,3.0,3.9215
2014-02-10,4y,4.0,4.2469
2014-02-10,5y,5.0,4.2098
2014-02-10,6y,6.0,4.4912
2014-02-10,7y,7.0,4.4125
2014-02-10,8y,8.0,4.544
2014-02-10,9y,9.0,4.5185
2014-02-10,10y,10.0,4.4831
2014-02-10,15y,15.0,4.7121
2014-02-10,20y,20.0,4.9453
2014-02-10,30y,30.0,5.0473
2014-02-10,40y,40.0,5.1207
2014-02-10,50y,50.0,5.1756
