,term,term_d,rate
2013-03-26,0d,0.0,1.0587
2013-03-26,1m,0.08,2.0997
2013-03-26,2m,0.17,2.6978
2013-03-26,3m,0.25,2.6701
2013-03-26,6m,0.5,2.6056
2013-03-26,9m,0.75,2.6045
2013-03-26,1y,1.0,2.7121
2013-03-26,2y,2.0,3.0628
2013-03-26,3y,3.0,3.0965
2013-03-26,4y,4.0,3.2760000000000002
2013-03-26,5y,5.0,3.3029
2013-03-26,6y,6.0,3.4673
2013-03-26,7y,7.0,3.488
2013-03-26,8y,8.0,3.5359
2013-03-26,9y,9.0,3.5596
2013-03-26,10y,10.0,3.5717
2013-03-26,15y,15.0,3.8477
2013-03-26,20y,20.0,4.0982
2013-03-26,30y,30.0,4.1997
2013-03-26,40y,40.0,4.2808
2013-03-26,50y,50.0,4.3442
