,term,term_d,rate
2011-05-16,0d,0.0,1.551
2011-05-16,1m,0.08,2.2043
2011-05-16,2m,0.17,2.6826
2011-05-16,3m,0.25,2.755
2011-05-16,6m,0.5,2.9009
2011-05-16,9m,0.75,2.9272
2011-05-16,1y,1.0,2.9799
2011-05-16,2y,2.0,3.1792
2011-05-16,3y,3.0,3.2881
2011-05-16,4y,4.0,3.3708
2011-05-16,5y,5.0,3.4532
2011-05-16,6y,6.0,3.6206
2011-05-16,7y,7.0,3.6478
2011-05-16,8y,8.0,3.7601
2011-05-16,9y,9.0,3.8113
2011-05-16,10y,10.0,3.8432
2011-05-16,15y,15.0,4.03
2011-05-16,20y,20.0,4.145
2011-05-16,30y,30.0,4.2823
2011-05-16,40y,40.0,4.3615
2011-05-16,50y,50.0,4.4254
