,term,term_d,rate
2014-05-16,0d,0.0,1.5467
2014-05-16,1m,0.08,2.6345
2014-05-16,2m,0.17,2.9282
2014-05-16,3m,0.25,3.0429
2014-05-16,6m,0.5,3.4137
2014-05-16,9m,0.75,3.5147
2014-05-16,1y,1.0,3.5139
2014-05-16,2y,2.0,3.6949
2014-05-16,3y,3.0,3.9664
2014-05-16,4y,4.0,4.0036
2014-05-16,5y,5.0,4.0424
2014-05-16,6y,6.0,4.0675
2014-05-16,7y,7.0,4.1259
2014-05-16,8y,8.0,4.1419
2014-05-16,9y,9.0,4.1802
2014-05-16,10y,10.0,4.1919
2014-05-16,15y,15.0,4.4168
2014-05-16,20y,20.0,4.6288
2014-05-16,30y,30.0,4.7446
2014-05-16,40y,40.0,4.8317
2014-05-16,50y,50.0,4.8834
