,term,term_d,rate
2014-07-07,0d,0.0,2.0787
2014-07-07,1m,0.08,2.7273
2014-07-07,2m,0.17,3.1538
2014-07-07,3m,0.25,3.1595
2014-07-07,6m,0.5,3.1783
2014-07-07,9m,0.75,3.3118
2014-07-07,1y,1.0,3.4441
2014-07-07,2y,2.0,3.6592
2014-07-07,3y,3.0,3.8669
2014-07-07,4y,4.0,3.9125
2014-07-07,5y,5.0,3.9410000000000003
2014-07-07,6y,6.0,3.9722
2014-07-07,7y,7.0,4.0703
2014-07-07,8y,8.0,4.0956
2014-07-07,9y,9.0,4.1211
2014-07-07,10y,10.0,4.1212
2014-07-07,15y,15.0,4.3142
2014-07-07,20y,20.0,4.4962
2014-07-07,30y,30.0,4.6411
2014-07-07,40y,40.0,4.7387
2014-07-07,50y,50.0,4.7829
