,term,term_d,rate
2014-02-19,0d,0.0,1.1137
2014-02-19,1m,0.08,3.7622
2014-02-19,2m,0.17,3.3137
2014-02-19,3m,0.25,3.2737
2014-02-19,6m,0.5,3.3531
2014-02-19,9m,0.75,3.3313
2014-02-19,1y,1.0,3.3925
2014-02-19,2y,2.0,3.6461
2014-02-19,3y,3.0,3.8503
2014-02-19,4y,4.0,4.2226
2014-02-19,5y,5.0,4.2452
2014-02-19,6y,6.0,4.522
2014-02-19,7y,7.0,4.4497
2014-02-19,8y,8.0,4.5735
2014-02-19,9y,9.0,4.5944
2014-02-19,10y,10.0,4.5535
2014-02-19,15y,15.0,4.7895
2014-02-19,20y,20.0,5.0227
2014-02-19,30y,30.0,5.1172
2014-02-19,40y,40.0,5.1956
2014-02-19,50y,50.0,5.2505
