,term,term_d,rate
2013-12-25,0d,0.0,2.7717
2013-12-25,1m,0.08,5.0747
2013-12-25,2m,0.17,4.8068
2013-12-25,3m,0.25,4.6530000000000005
2013-12-25,6m,0.5,4.2572
2013-12-25,9m,0.75,4.0891
2013-12-25,1y,1.0,4.1546
2013-12-25,2y,2.0,4.419
2013-12-25,3y,3.0,4.4125
2013-12-25,4y,4.0,4.4788
2013-12-25,5y,5.0,4.4564
2013-12-25,6y,6.0,4.6468
2013-12-25,7y,7.0,4.5712
2013-12-25,8y,8.0,4.6252
2013-12-25,9y,9.0,4.6185
2013-12-25,10y,10.0,4.5666
2013-12-25,15y,15.0,4.8032
2013-12-25,20y,20.0,5.0264
2013-12-25,30y,30.0,5.1284
2013-12-25,40y,40.0,5.2119
2013-12-25,50y,50.0,5.2668
