,term,term_d,rate
2013-09-17,0d,0.0,2.6527
2013-09-17,1m,0.08,4.1708
2013-09-17,2m,0.17,3.9328
2013-09-17,3m,0.25,3.6927
2013-09-17,6m,0.5,3.5692
2013-09-17,9m,0.75,3.5453
2013-09-17,1y,1.0,3.5906
2013-09-17,2y,2.0,3.824
2013-09-17,3y,3.0,3.8693
2013-09-17,4y,4.0,3.987
2013-09-17,5y,5.0,3.9846
2013-09-17,6y,6.0,4.0805
2013-09-17,7y,7.0,4.0521
2013-09-17,8y,8.0,4.0929
2013-09-17,9y,9.0,4.0891
2013-09-17,10y,10.0,4.0721
2013-09-17,15y,15.0,4.3128
2013-09-17,20y,20.0,4.5272
2013-09-17,30y,30.0,4.5811
2013-09-17,40y,40.0,4.5929
2013-09-17,50y,50.0,4.6078
