,term,term_d,rate
2015-09-29,0d,0.0,1.4128
2015-09-29,1m,0.08,2.2537
2015-09-29,2m,0.17,2.1885
2015-09-29,3m,0.25,2.1939
2015-09-29,6m,0.5,2.3193
2015-09-29,9m,0.75,2.3012
2015-09-29,1y,1.0,2.3890000000000002
2015-09-29,2y,2.0,2.7003
2015-09-29,3y,3.0,2.9483
2015-09-29,4y,4.0,3.0235
2015-09-29,5y,5.0,3.0574
2015-09-29,6y,6.0,3.1975
2015-09-29,7y,7.0,3.2696
2015-09-29,8y,8.0,3.2635
2015-09-29,9y,9.0,3.2529
2015-09-29,10y,10.0,3.2457
2015-09-29,15y,15.0,3.4644
2015-09-29,20y,20.0,3.7408
2015-09-29,30y,30.0,3.8804
2015-09-29,40y,40.0,3.9361
2015-09-29,50y,50.0,3.9819
