,term,term_d,rate
2013-08-06,0d,0.0,2.3596
2013-08-06,1m,0.08,3.523
2013-08-06,2m,0.17,3.4361
2013-08-06,3m,0.25,3.3669
2013-08-06,6m,0.5,3.3705
2013-08-06,9m,0.75,3.3968
2013-08-06,1y,1.0,3.4047
2013-08-06,2y,2.0,3.5060000000000002
2013-08-06,3y,3.0,3.5424
2013-08-06,4y,4.0,3.6293
2013-08-06,5y,5.0,3.6323
2013-08-06,6y,6.0,3.667
2013-08-06,7y,7.0,3.6733
2013-08-06,8y,8.0,3.7016
2013-08-06,9y,9.0,3.7248
2013-08-06,10y,10.0,3.7153
2013-08-06,15y,15.0,3.8562
2013-08-06,20y,20.0,4.0451
2013-08-06,30y,30.0,4.1613
2013-08-06,40y,40.0,4.24
2013-08-06,50y,50.0,4.2735
