,term,term_d,rate
2012-12-26,0d,0.0,1.7076
2012-12-26,1m,0.08,2.6766
2012-12-26,2m,0.17,2.8571
2012-12-26,3m,0.25,2.853
2012-12-26,6m,0.5,2.8541
2012-12-26,9m,0.75,2.8552
2012-12-26,1y,1.0,2.9278
2012-12-26,2y,2.0,3.1227
2012-12-26,3y,3.0,3.1528
2012-12-26,4y,4.0,3.2075
2012-12-26,5y,5.0,3.2821
2012-12-26,6y,6.0,3.4085
2012-12-26,7y,7.0,3.4812
2012-12-26,8y,8.0,3.5223
2012-12-26,9y,9.0,3.5585
2012-12-26,10y,10.0,3.5925
2012-12-26,15y,15.0,3.8645
2012-12-26,20y,20.0,4.0993
2012-12-26,30y,30.0,4.2010000000000005
2012-12-26,40y,40.0,4.2878
2012-12-26,50y,50.0,4.3524
