,term,term_d,rate
2013-07-04,0d,0.0,2.4644
2013-07-04,1m,0.08,3.6645
2013-07-04,2m,0.17,3.5683
2013-07-04,3m,0.25,3.6337
2013-07-04,6m,0.5,3.3919
2013-07-04,9m,0.75,3.3725
2013-07-04,1y,1.0,3.3912
2013-07-04,2y,2.0,3.1581
2013-07-04,3y,3.0,3.1083
2013-07-04,4y,4.0,3.2744
2013-07-04,5y,5.0,3.2629
2013-07-04,6y,6.0,3.3956
2013-07-04,7y,7.0,3.4021
2013-07-04,8y,8.0,3.516
2013-07-04,9y,9.0,3.5239
2013-07-04,10y,10.0,3.5102
2013-07-04,15y,15.0,3.7484
2013-07-04,20y,20.0,3.9853
2013-07-04,30y,30.0,4.1277
2013-07-04,40y,40.0,4.2063
2013-07-04,50y,50.0,4.2566
