,term,term_d,rate
2014-07-15,0d,0.0,2.3447
2014-07-15,1m,0.08,3.0673
2014-07-15,2m,0.17,3.1914
2014-07-15,3m,0.25,3.2263
2014-07-15,6m,0.5,3.2972
2014-07-15,9m,0.75,3.5023
2014-07-15,1y,1.0,3.5893
2014-07-15,2y,2.0,3.7329
2014-07-15,3y,3.0,3.8822
2014-07-15,4y,4.0,3.9442
2014-07-15,5y,5.0,3.9786
2014-07-15,6y,6.0,4.0287
2014-07-15,7y,7.0,4.1304
2014-07-15,8y,8.0,4.1346
2014-07-15,9y,9.0,4.1361
2014-07-15,10y,10.0,4.1571
2014-07-15,15y,15.0,4.3387
2014-07-15,20y,20.0,4.5207
2014-07-15,30y,30.0,4.6656
2014-07-15,40y,40.0,4.7632
2014-07-15,50y,50.0,4.8074
