,term,term_d,rate
2013-08-12,0d,0.0,2.2241
2013-08-12,1m,0.08,3.3975
2013-08-12,2m,0.17,3.404
2013-08-12,3m,0.25,3.4283
2013-08-12,6m,0.5,3.3993
2013-08-12,9m,0.75,3.4544
2013-08-12,1y,1.0,3.4479
2013-08-12,2y,2.0,3.5829
2013-08-12,3y,3.0,3.6224
2013-08-12,4y,4.0,3.7666
2013-08-12,5y,5.0,3.7760000000000002
2013-08-12,6y,6.0,3.7923
2013-08-12,7y,7.0,3.8061
2013-08-12,8y,8.0,3.8208
2013-08-12,9y,9.0,3.8442
2013-08-12,10y,10.0,3.8513
2013-08-12,15y,15.0,3.9787
2013-08-12,20y,20.0,4.1764
2013-08-12,30y,30.0,4.227
2013-08-12,40y,40.0,4.2807
2013-08-12,50y,50.0,4.3063
