,term,term_d,rate
2014-06-19,0d,0.0,1.8247
2014-06-19,1m,0.08,3.2733
2014-06-19,2m,0.17,3.1201
2014-06-19,3m,0.25,3.1298
2014-06-19,6m,0.5,3.2035
2014-06-19,9m,0.75,3.228
2014-06-19,1y,1.0,3.4123
2014-06-19,2y,2.0,3.6273
2014-06-19,3y,3.0,3.7310000000000003
2014-06-19,4y,4.0,3.8093
2014-06-19,5y,5.0,3.8491
2014-06-19,6y,6.0,3.9017
2014-06-19,7y,7.0,3.9819
2014-06-19,8y,8.0,4.0087
2014-06-19,9y,9.0,4.0406
2014-06-19,10y,10.0,4.0408
2014-06-19,15y,15.0,4.2234
2014-06-19,20y,20.0,4.4154
2014-06-19,30y,30.0,4.5603
2014-06-19,40y,40.0,4.6579
2014-06-19,50y,50.0,4.7021
