,term,term_d,rate
2012-11-09,0d,0.0,2.1830000000000003
2012-11-09,1m,0.08,2.6047
2012-11-09,2m,0.17,2.8887
2012-11-09,3m,0.25,2.8784
2012-11-09,6m,0.5,2.8099
2012-11-09,9m,0.75,2.8447
2012-11-09,1y,1.0,2.9377
2012-11-09,2y,2.0,3.0439999999999996
2012-11-09,3y,3.0,3.0439999999999996
2012-11-09,4y,4.0,3.1481
2012-11-09,5y,5.0,3.1833
2012-11-09,6y,6.0,3.3896
2012-11-09,7y,7.0,3.4706
2012-11-09,8y,8.0,3.508
2012-11-09,9y,9.0,3.5356
2012-11-09,10y,10.0,3.5594
2012-11-09,15y,15.0,3.839
2012-11-09,20y,20.0,4.0964
2012-11-09,30y,30.0,4.1898
2012-11-09,40y,40.0,4.2725
2012-11-09,50y,50.0,4.3148
