,term,term_d,rate
2011-03-28,0d,0.0,1.2609
2011-03-28,1m,0.08,1.8585
2011-03-28,2m,0.17,2.4004
2011-03-28,3m,0.25,2.6262
2011-03-28,6m,0.5,2.6919
2011-03-28,9m,0.75,2.7505
2011-03-28,1y,1.0,2.88
2011-03-28,2y,2.0,3.1621
2011-03-28,3y,3.0,3.2323
2011-03-28,4y,4.0,3.4264
2011-03-28,5y,5.0,3.4958
2011-03-28,6y,6.0,3.68
2011-03-28,7y,7.0,3.7111
2011-03-28,8y,8.0,3.8168
2011-03-28,9y,9.0,3.8612
2011-03-28,10y,10.0,3.8807
2011-03-28,15y,15.0,4.0679
2011-03-28,20y,20.0,4.184
2011-03-28,30y,30.0,4.31
2011-03-28,40y,40.0,4.3801
2011-03-28,50y,50.0,4.4456
