,term,term_d,rate
2013-02-06,0d,0.0,2.8006
2013-02-06,1m,0.08,2.715
2013-02-06,2m,0.17,2.6636
2013-02-06,3m,0.25,2.6835
2013-02-06,6m,0.5,2.7376
2013-02-06,9m,0.75,2.6461
2013-02-06,1y,1.0,2.7869
2013-02-06,2y,2.0,3.0436
2013-02-06,3y,3.0,3.0956
2013-02-06,4y,4.0,3.2118
2013-02-06,5y,5.0,3.273
2013-02-06,6y,6.0,3.4305
2013-02-06,7y,7.0,3.4612
2013-02-06,8y,8.0,3.5125
2013-02-06,9y,9.0,3.5544
2013-02-06,10y,10.0,3.5922
2013-02-06,15y,15.0,3.8583
2013-02-06,20y,20.0,4.0994
2013-02-06,30y,30.0,4.2021
2013-02-06,40y,40.0,4.2889
2013-02-06,50y,50.0,4.3531
