,term,term_d,rate
2015-03-02,0d,0.0,2.7377
2015-03-02,1m,0.08,3.2429
2015-03-02,2m,0.17,3.16
2015-03-02,3m,0.25,3.0811
2015-03-02,6m,0.5,3.0231
2015-03-02,9m,0.75,3.07
2015-03-02,1y,1.0,3.0488
2015-03-02,2y,2.0,3.0959
2015-03-02,3y,3.0,3.1428
2015-03-02,4y,4.0,3.1881
2015-03-02,5y,5.0,3.233
2015-03-02,6y,6.0,3.2585
2015-03-02,7y,7.0,3.2745
2015-03-02,8y,8.0,3.307
2015-03-02,9y,9.0,3.3481
2015-03-02,10y,10.0,3.3883
2015-03-02,15y,15.0,3.6058
2015-03-02,20y,20.0,3.7747
2015-03-02,30y,30.0,3.9341
2015-03-02,40y,40.0,4.0055
2015-03-02,50y,50.0,4.0799
