,term,term_d,rate
2014-02-07,0d,0.0,2.9907
2014-02-07,1m,0.08,3.968
2014-02-07,2m,0.17,3.7636
2014-02-07,3m,0.25,3.5673
2014-02-07,6m,0.5,3.4501
2014-02-07,9m,0.75,3.4528
2014-02-07,1y,1.0,3.5653
2014-02-07,2y,2.0,3.7680000000000002
2014-02-07,3y,3.0,3.9405
2014-02-07,4y,4.0,4.2176
2014-02-07,5y,5.0,4.1888
2014-02-07,6y,6.0,4.5188
2014-02-07,7y,7.0,4.4048
2014-02-07,8y,8.0,4.534
2014-02-07,9y,9.0,4.5294
2014-02-07,10y,10.0,4.4781
2014-02-07,15y,15.0,4.7096
2014-02-07,20y,20.0,4.9428
2014-02-07,30y,30.0,5.0448
2014-02-07,40y,40.0,5.1182
2014-02-07,50y,50.0,5.1731
